payment_id,order_id,payment_method,payment_date,amount,payment_status
PAY-02928,ORD-01444,apple_pay,2022-04-08,1380.52,success
PAY-00757,ORD-00979,debit_card,2024-10-30,72.64,failed
PAY-02702,ORD-00809,apple_pay,2023-05-20,157.53,success
PAY-00882,ORD-02446,debit_card,2025-01-01,73.14,pending
PAY-00262,ORD-02245,google_pay,2024-01-28,152.52,success
PAY-01593,ORD-02258,debit_card,2022-04-29,88.31,failed
PAY-02719,ORD-00341,debit_card,2022-03-22,363.43,success
PAY-00522,ORD-02329,bank_transfer,2022-07-25,1118.21,success
PAY-00263,ORD-02102,credit_card,2023-05-13,4693.95,failed
PAY-02457,ORD-02151,credit_card,2024-07-08,681.28,refunded
PAY-00693,ORD-00343,debit_card,2023-12-09,1418.4,pending
PAY-00146,ORD-00024,debit_card,2022-04-14,31.89,success
PAY-01116,ORD-01859,debit_card,2022-02-11,1802.14,pending
PAY-00744,ORD-02249,google_pay,2022-06-30,1552.19,success
PAY-02954,ORD-01623,gift_card,2022-11-08,366.68,success
PAY-01798,ORD-02624,credit_card,2023-11-01,14.82,success
PAY-02076,ORD-01452,paypal,2023-11-23,245.64,success
PAY-02849,ORD-00657,gift_card,2022-05-15,3397.08,success
PAY-03082,ORD-02823,paypal,2022-04-21,711.87,success
PAY-00141,ORD-02078,apple_pay,2023-02-09,198.3,refunded
PAY-00257,ORD-01894,bank_transfer,2024-07-14,1005.86,success
PAY-01905,ORD-01392,apple_pay,2023-02-01,338.06,success
PAY-02405,ORD-02954,credit_card,2023-06-17,801.1,pending
PAY-01203,ORD-01508,paypal,2022-07-22,1992.16,success
PAY-00734,ORD-01238,gift_card,2023-09-05,377.46,success
PAY-00664,ORD-00395,credit_card,2022-03-22,110.0,success
PAY-00964,ORD-02309,debit_card,2022-11-17,1414.34,failed
PAY-02893,ORD-01236,gift_card,2023-05-24,111.49,success
PAY-00216,ORD-01408,bank_transfer,2022-09-24,1265.66,success
PAY-00218,ORD-00458,credit_card,2022-10-30,401.34,pending
PAY-02070,ORD-01199,paypal,2023-04-23,409.8,success
PAY-01671,ORD-01217,credit_card,2022-04-07,341.97,failed
PAY-02941,ORD-02604,bank_transfer,2024-06-10,1560.41,refunded
PAY-01834,ORD-02550,bank_transfer,2024-07-11,96.9,pending
PAY-00617,ORD-01154,google_pay,2022-10-01,132.43,pending
PAY-01791,ORD-02634,credit_card,2022-01-09,867.45,success
PAY-00173,ORD-00533,credit_card,2023-05-18,1767.02,pending
PAY-02586,ORD-00150,paypal,2022-09-21,1288.18,success
PAY-02014,ORD-00915,bank_transfer,2023-01-21,63.8,success
PAY-02226,ORD-01523,bank_transfer,2024-12-23,338.93,success
PAY-02998,ORD-00944,credit_card,2023-04-24,562.29,success
PAY-02317,ORD-02593,debit_card,2024-04-27,885.18,refunded
PAY-01640,ORD-02862,credit_card,2024-12-17,649.5,refunded
PAY-02222,ORD-00633,paypal,2024-05-11,72.73,success
PAY-00368,ORD-00561,debit_card,2023-02-10,932.81,success
PAY-00758,ORD-01706,bank_transfer,2022-06-26,444.26,success
PAY-02780,ORD-00046,gift_card,2023-06-02,868.3,pending
PAY-01370,ORD-00226,bank_transfer,2024-09-26,2740.43,success
PAY-00458,ORD-01116,debit_card,2023-10-09,370.1,refunded
PAY-01559,ORD-00672,apple_pay,2023-04-01,5.59,failed
PAY-03120,ORD-00612,apple_pay,2022-10-24,963.81,success
PAY-00745,ORD-00198,debit_card,2022-03-24,2918.67,success
PAY-01121,ORD-02527,bank_transfer,2023-03-27,553.11,success
PAY-01770,ORD-00332,debit_card,2024-11-25,730.76,pending
PAY-02160,ORD-01817,debit_card,2023-12-08,2994.75,success
PAY-00609,ORD-02414,credit_card,2024-02-18,113.82,success
PAY-02758,ORD-00829,credit_card,2022-10-06,56.08,success
PAY-02460,ORD-02856,credit_card,2024-04-29,728.43,refunded
PAY-01251,ORD-01175,google_pay,2022-04-27,2035.06,success
PAY-01948,ORD-00217,credit_card,2022-07-20,18.65,success
PAY-01681,ORD-02044,debit_card,2022-08-04,539.71,success
PAY-02259,ORD-02830,gift_card,2022-04-26,612.74,failed
PAY-03033,ORD-02877,credit_card,2024-04-30,16.44,refunded
PAY-02345,ORD-02164,bank_transfer,2023-11-15,2248.7,success
PAY-01339,ORD-00696,debit_card,2024-07-16,370.79,refunded
PAY-02432,ORD-00857,debit_card,2023-06-22,891.94,success
PAY-02338,ORD-00130,bank_transfer,2023-10-14,137.4,success
PAY-00096,ORD-00774,debit_card,2022-04-04,74.1,success
PAY-00630,ORD-00409,credit_card,2023-09-16,1093.95,refunded
PAY-01096,ORD-00345,paypal,2022-06-21,11.79,pending
PAY-02448,ORD-01651,debit_card,2024-06-05,64.5,pending
PAY-02191,ORD-00854,bank_transfer,2022-10-11,234.66,success
PAY-02169,ORD-02583,google_pay,2023-11-05,373.8,pending
PAY-00461,ORD-02867,paypal,2022-01-26,2895.38,success
PAY-01417,ORD-02836,gift_card,2024-04-13,1196.8,success
PAY-00480,ORD-00065,paypal,2022-04-30,292.14,refunded
PAY-02706,ORD-02925,bank_transfer,2024-07-26,30.02,success
PAY-01212,ORD-01834,bank_transfer,2022-10-19,159.22,pending
PAY-00255,ORD-02664,paypal,2023-09-28,3493.18,success
PAY-01167,ORD-01132,debit_card,2023-11-17,341.45,pending
PAY-00913,ORD-01331,google_pay,2022-09-05,610.97,success
PAY-02116,ORD-00858,apple_pay,2023-07-09,315.77,failed
PAY-02920,ORD-02438,credit_card,2022-06-12,895.22,success
PAY-00738,ORD-01507,google_pay,2023-07-05,1372.75,success
PAY-00429,ORD-01206,apple_pay,2023-11-28,7901.8,refunded
PAY-02543,ORD-02982,credit_card,2022-08-01,73.01,success
PAY-01919,ORD-02698,apple_pay,2022-10-31,2519.44,success
PAY-01234,ORD-00390,apple_pay,2024-05-13,557.62,pending
PAY-00388,ORD-01200,bank_transfer,2024-01-08,2216.48,refunded
PAY-00435,ORD-02234,gift_card,2023-07-26,1055.35,success
PAY-00551,ORD-01246,google_pay,2023-08-08,123.89,success
PAY-02247,ORD-02821,bank_transfer,2022-03-18,538.31,success
PAY-00345,ORD-01183,google_pay,2024-11-01,637.79,pending
PAY-00721,ORD-01601,credit_card,,52.53,pending
PAY-02379,ORD-02004,credit_card,2022-05-07,458.13,failed
PAY-00506,ORD-01130,paypal,2023-03-04,746.87,refunded
PAY-02858,ORD-02894,debit_card,2022-03-15,410.94,success
PAY-02574,ORD-00711,paypal,2024-09-15,411.32,success
PAY-03037,ORD-01421,credit_card,2023-01-19,959.78,refunded
PAY-00470,ORD-01762,credit_card,2023-07-14,55.69,success
PAY-02198,ORD-00481,bank_transfer,2022-08-10,4934.81,failed
PAY-01466,ORD-01435,apple_pay,2024-02-27,150.94,success
PAY-03098,ORD-00127,debit_card,2022-09-29,15.41,success
PAY-02282,ORD-00147,debit_card,2023-11-12,899.54,pending
PAY-00994,ORD-00269,apple_pay,2024-01-18,313.4,failed
PAY-03126,ORD-01350,credit_card,2022-02-25,70.88,failed
PAY-01463,ORD-02430,google_pay,2024-01-18,1122.0,pending
PAY-01191,ORD-02896,debit_card,2024-04-21,51.75,success
PAY-01407,ORD-00880,credit_card,2022-04-04,236.72,pending
PAY-00666,ORD-02456,credit_card,2024-08-01,1481.39,pending
PAY-00014,ORD-01910,apple_pay,2022-07-31,308.01,failed
PAY-02976,ORD-01315,paypal,,3158.4,refunded
PAY-02192,ORD-01897,credit_card,2024-09-04,848.62,success
PAY-03122,ORD-01181,apple_pay,2024-04-27,279.77,refunded
PAY-00735,ORD-02741,credit_card,2024-10-21,139.58,success
PAY-02242,ORD-02018,apple_pay,2023-08-08,1636.8,success
PAY-02067,ORD-02770,bank_transfer,2023-10-01,150.95,success
PAY-01277,ORD-02183,google_pay,2022-07-07,658.58,success
PAY-00064,ORD-02061,paypal,2023-07-18,583.03,refunded
PAY-00492,ORD-01077,debit_card,2023-12-04,9587.24,failed
PAY-00357,ORD-01174,credit_card,2024-05-27,599.22,success
PAY-00858,ORD-00661,credit_card,2023-08-30,2024.58,success
PAY-00543,ORD-00621,credit_card,2023-02-24,360.8,success
PAY-00553,ORD-02356,debit_card,2024-05-20,95.48,success
PAY-01029,ORD-00749,debit_card,2024-11-06,947.54,success
PAY-02938,ORD-01588,bank_transfer,2022-08-23,159.9,success
PAY-01187,ORD-00780,debit_card,2023-07-29,6091.0,refunded
PAY-02646,ORD-02933,paypal,2024-02-21,1451.61,success
PAY-00484,ORD-01009,credit_card,2023-12-12,238.55,pending
PAY-00010,ORD-01196,debit_card,,342.06,failed
PAY-00791,ORD-01308,credit_card,2022-06-14,336.54,failed
PAY-02645,ORD-01489,credit_card,2023-09-06,249.35,success
PAY-00919,ORD-01135,google_pay,2023-09-20,523.19,success
PAY-01072,ORD-02852,paypal,2023-06-16,989.65,success
PAY-00782,ORD-01283,debit_card,2022-12-26,1733.04,pending
PAY-03062,ORD-02676,paypal,2022-07-01,1241.65,refunded
PAY-00241,ORD-01179,bank_transfer,2024-02-07,1717.13,success
PAY-02606,ORD-02470,paypal,2024-08-03,2112.48,success
PAY-01238,ORD-00648,gift_card,,948.33,success
PAY-01824,ORD-01845,UNKNOWN,2022-12-31,258.96,success
PAY-02988,ORD-01625,google_pay,2024-03-31,349.36,success
PAY-02288,ORD-02986,paypal,2024-10-26,835.15,success
PAY-01153,ORD-02881,debit_card,2024-04-03,1288.73,refunded
PAY-01760,ORD-01855,paypal,2023-04-30,732.62,pending
PAY-02437,ORD-02771,credit_card,2024-07-09,70.6,refunded
PAY-01754,ORD-00888,gift_card,2023-06-15,207.96,failed
PAY-02824,ORD-02034,paypal,2024-12-24,26.69,success
PAY-02068,ORD-00236,debit_card,2023-03-06,92.34,refunded
PAY-01947,ORD-00894,apple_pay,2022-07-19,4800.45,success
PAY-01285,ORD-02435,debit_card,2022-06-08,2623.73,refunded
PAY-00642,ORD-00137,credit_card,2023-02-17,670.04,success
PAY-01577,ORD-01384,gift_card,2022-10-20,655.0,pending
PAY-01150,ORD-01708,debit_card,2024-01-25,789.8,success
PAY-02814,ORD-01447,paypal,2023-10-10,396.0,success
PAY-03046,ORD-01783,paypal,2022-07-31,799.31,success
PAY-00961,ORD-02418,paypal,2023-04-04,803.52,failed
PAY-01755,ORD-01169,apple_pay,2023-08-01,1264.92,pending
PAY-00900,ORD-00183,credit_card,2022-10-05,1348.59,pending
PAY-01552,ORD-00921,credit_card,2024-01-07,2991.71,failed
PAY-02744,ORD-01774,debit_card,2022-10-23,129.51,success
PAY-00206,ORD-00255,credit_card,2023-05-28,51.41,success
PAY-01787,ORD-00051,gift_card,2023-09-21,380.77,success
PAY-02312,ORD-02926,credit_card,2024-12-28,329.57,success
PAY-00586,ORD-02389,credit_card,2024-08-10,1616.23,failed
PAY-01049,ORD-01545,apple_pay,2023-07-25,834.1,failed
PAY-02370,ORD-01605,debit_card,2023-07-12,348.55,pending
PAY-02099,ORD-01052,google_pay,2022-04-29,1131.73,success
PAY-01635,ORD-00896,gift_card,2024-11-23,338.46,success
PAY-00831,ORD-01021,credit_card,2023-03-25,51.78,success
PAY-00834,ORD-02587,credit_card,2022-04-25,3035.78,failed
PAY-02726,ORD-00924,debit_card,2024-03-02,688.72,pending
PAY-01752,ORD-01024,apple_pay,2022-09-26,367.14,pending
PAY-02750,ORD-02369,google_pay,2022-10-30,877.34,success
PAY-01855,ORD-02588,bank_transfer,2023-06-15,1319.36,pending
PAY-01208,ORD-01187,google_pay,2024-11-17,334.93,success
PAY-02870,ORD-02346,credit_card,2023-02-01,457.21,success
PAY-02633,ORD-02154,credit_card,2022-07-17,171.06,success
PAY-00109,ORD-02386,paypal,2022-03-09,2350.72,success
PAY-01349,ORD-02990,debit_card,2024-12-31,2023.12,pending
PAY-02341,ORD-02908,google_pay,2022-11-24,520.44,success
PAY-01202,ORD-00903,credit_card,2023-01-07,168.92,pending
PAY-01784,ORD-02947,credit_card,2023-06-26,87.58,failed
PAY-01606,ORD-00373,paypal,2023-03-24,766.99,success
PAY-02993,ORD-01933,credit_card,2023-04-11,240.64,pending
PAY-02737,ORD-00120,gift_card,2023-10-17,2242.95,failed
PAY-01589,ORD-00108,bank_transfer,2024-10-01,807.26,pending
PAY-00514,ORD-00588,google_pay,2022-07-10,33.02,failed
PAY-00460,ORD-00674,gift_card,2024-10-07,667.98,success
PAY-02990,ORD-01074,bank_transfer,2023-07-05,139.0,success
PAY-02391,ORD-02626,credit_card,2023-09-15,415.05,success
PAY-02426,ORD-01583,debit_card,2024-11-16,1970.51,pending
PAY-00764,ORD-00587,debit_card,,1395.16,success
PAY-01972,ORD-02578,bank_transfer,2024-09-13,777.05,success
PAY-01052,ORD-00363,bank_transfer,2024-04-24,1312.69,success
PAY-01268,ORD-00298,paypal,2022-04-24,154.51,success
PAY-00318,ORD-00240,debit_card,2023-11-03,550.21,success
PAY-01223,ORD-00988,apple_pay,2023-08-24,16.52,success
PAY-02188,ORD-02699,apple_pay,2024-05-05,120.39,pending
PAY-01551,ORD-02863,credit_card,2022-03-11,213.74,success
PAY-00756,ORD-01611,credit_card,2024-03-27,83.36,success
PAY-02764,ORD-02225,credit_card,2023-09-11,328.88,failed
PAY-00556,ORD-00032,debit_card,2024-08-26,574.13,refunded
PAY-02934,ORD-01457,gift_card,2022-07-30,54.04,refunded
PAY-02382,ORD-00087,credit_card,2024-03-28,869.19,success
PAY-02485,ORD-01310,debit_card,2023-11-06,297.01,pending
PAY-00524,ORD-00356,apple_pay,2024-08-02,1060.37,refunded
PAY-01114,ORD-01629,gift_card,2022-09-04,897.27,success
PAY-02404,ORD-02954,credit_card,2023-06-17,1007.22,pending
PAY-01624,ORD-00776,credit_card,2024-12-21,713.85,success
PAY-01894,ORD-02998,apple_pay,2022-11-01,817.3,success
PAY-00053,ORD-00233,credit_card,2023-04-10,189.34,pending
PAY-02614,ORD-00399,bank_transfer,2024-07-10,419.79,success
PAY-02279,ORD-00840,debit_card,2024-04-12,1048.61,success
PAY-00417,ORD-01292,debit_card,2024-04-21,761.1,success
PAY-01694,ORD-00305,credit_card,2022-10-19,432.74,success
PAY-00112,ORD-00709,gift_card,2022-10-29,177.19,refunded
PAY-02532,ORD-02255,debit_card,2024-01-24,17.86,success
PAY-01345,ORD-00454,gift_card,2022-03-10,496.72,success
PAY-02959,ORD-02475,credit_card,2022-02-11,171.22,refunded
PAY-02020,ORD-01040,debit_card,2022-07-14,733.18,refunded
PAY-01938,ORD-02056,credit_card,2022-06-17,137.6,failed
PAY-01094,ORD-00050,google_pay,2023-12-11,919.75,refunded
PAY-02007,ORD-01713,credit_card,2022-06-08,650.09,success
PAY-00953,ORD-01576,gift_card,2024-10-01,1323.09,success
PAY-00661,ORD-02221,credit_card,2022-04-16,456.06,refunded
PAY-01364,ORD-01983,paypal,,382.34,success
PAY-01627,ORD-02125,paypal,2024-04-30,698.81,failed
PAY-01065,ORD-01480,debit_card,2024-03-27,281.26,refunded
PAY-00101,ORD-02076,credit_card,2022-02-21,62.57,success
PAY-01700,ORD-02417,gift_card,2022-03-26,1533.35,refunded
PAY-00048,ORD-01156,apple_pay,2022-02-28,932.37,success
PAY-02664,ORD-01418,google_pay,2024-10-27,1040.5,success
PAY-00977,ORD-00315,debit_card,2022-02-02,934.68,pending
PAY-02684,ORD-02017,bank_transfer,2022-06-05,897.19,failed
PAY-02907,ORD-00675,bank_transfer,2022-03-15,2048.92,failed
PAY-01324,ORD-01749,gift_card,2022-07-18,16.0,pending
PAY-02031,ORD-02294,google_pay,2022-12-15,234.01,success
PAY-01226,ORD-02187,paypal,2022-06-06,53.82,pending
PAY-02720,ORD-00389,paypal,2024-02-10,90.4,pending
PAY-01839,ORD-02336,debit_card,2024-04-22,203.15,pending
PAY-00903,ORD-00338,debit_card,2022-12-25,877.76,success
PAY-01449,ORD-01553,paypal,2023-04-11,4818.2,refunded
PAY-00185,ORD-01661,credit_card,2023-01-05,470.15,success
PAY-02821,ORD-01881,bank_transfer,2023-09-16,86.92,pending
PAY-00526,ORD-01640,paypal,2023-12-07,36.63,failed
PAY-02018,ORD-02182,bank_transfer,2023-07-30,3044.32,refunded
PAY-00991,ORD-00289,paypal,2022-03-22,412.36,refunded
PAY-01321,ORD-02874,debit_card,2023-08-16,980.16,failed
PAY-02402,ORD-01092,apple_pay,2023-02-05,355.56,success
PAY-00450,ORD-02843,credit_card,2022-03-09,629.72,success
PAY-00895,ORD-01659,credit_card,2023-02-07,304.72,success
PAY-01248,ORD-00071,credit_card,2022-05-15,1110.03,failed
PAY-01603,ORD-02544,google_pay,,196.2,success
PAY-00776,ORD-01184,debit_card,2023-12-07,137.02,success
PAY-00075,ORD-02231,debit_card,2022-11-06,54.76,success
PAY-00641,ORD-00077,debit_card,2023-08-12,1245.9,failed
PAY-00560,ORD-01165,gift_card,2023-10-08,725.75,success
PAY-00273,ORD-02612,credit_card,2024-08-20,91.4,success
PAY-01701,ORD-01736,credit_card,2022-02-05,336.2,success
PAY-02500,ORD-01372,debit_card,2024-06-06,125.64,pending
PAY-00394,ORD-01676,credit_card,2022-01-27,13.26,success
PAY-00297,ORD-02243,paypal,2022-01-02,1369.49,success
PAY-01446,ORD-00419,apple_pay,2024-03-25,551.16,pending
PAY-00825,ORD-01656,credit_card,2022-03-10,182.78,refunded
PAY-02967,ORD-01284,apple_pay,2022-05-10,503.72,failed
PAY-01776,ORD-00191,debit_card,2022-07-11,1132.92,success
PAY-02420,ORD-00424,UNKNOWN,2024-08-27,1157.0,success
PAY-02845,ORD-02467,debit_card,2022-10-14,1231.71,failed
PAY-02763,ORD-02225,debit_card,2023-09-10,205.05,success
PAY-00174,ORD-00187,gift_card,2023-04-15,606.79,pending
PAY-01571,ORD-02108,credit_card,2022-02-02,15.39,pending
PAY-02425,ORD-02696,debit_card,2024-02-23,1289.4,refunded
PAY-02092,ORD-02661,gift_card,2024-08-15,879.4,refunded
PAY-01112,ORD-02769,credit_card,2023-10-11,1655.9,failed
PAY-01241,ORD-02984,gift_card,2023-07-14,776.3,pending
PAY-01006,ORD-01125,credit_card,2022-06-02,31.06,refunded
PAY-02888,ORD-01493,debit_card,2024-05-07,289.67,success
PAY-03087,ORD-01908,credit_card,2024-06-14,85.46,success
PAY-02611,ORD-01025,credit_card,2022-05-07,76.41,success
PAY-01205,ORD-00948,credit_card,2022-04-12,647.7,refunded
PAY-00287,ORD-00766,bank_transfer,2024-01-31,964.37,success
PAY-02245,ORD-01007,credit_card,2024-01-04,47.22,success
PAY-02987,ORD-01937,credit_card,2022-01-12,652.79,refunded
PAY-00645,ORD-00401,apple_pay,2022-10-11,354.01,failed
PAY-01290,ORD-00494,bank_transfer,2023-08-22,986.01,pending
PAY-00392,ORD-02970,bank_transfer,2023-07-01,333.42,success
PAY-02511,ORD-01568,gift_card,2024-11-16,3223.62,success
PAY-00069,ORD-01602,bank_transfer,2027-12-31,303.58,success
PAY-01314,ORD-01931,debit_card,2023-03-13,723.7,refunded
PAY-03056,ORD-00617,google_pay,2024-05-23,93.11,failed
PAY-00264,ORD-02849,credit_card,2024-02-19,2984.88,refunded
PAY-00683,ORD-00350,credit_card,2022-03-16,513.5,pending
PAY-03083,ORD-00620,paypal,2022-02-06,873.88,refunded
PAY-03043,ORD-01362,debit_card,2022-08-06,348.53,success
PAY-01075,ORD-01917,credit_card,2023-11-13,413.46,failed
PAY-01219,ORD-00954,gift_card,2022-10-13,140.35,refunded
PAY-02118,ORD-00957,debit_card,2024-02-17,166.66,success
PAY-01811,ORD-01195,gift_card,2024-11-30,1601.55,success
PAY-00107,ORD-00165,paypal,2022-01-22,1210.68,failed
PAY-00644,ORD-00195,gift_card,2023-04-09,1463.78,failed
PAY-02529,ORD-00144,credit_card,2023-06-23,45.36,pending
PAY-00922,ORD-00938,apple_pay,2023-06-20,212.98,success
PAY-02687,ORD-02786,google_pay,2023-08-08,361.83,success
PAY-01622,ORD-02745,debit_card,2022-07-30,678.51,success
PAY-01576,ORD-01459,credit_card,2022-05-09,328.44,failed
PAY-00541,ORD-01986,credit_card,2024-12-23,3446.77,success
PAY-01509,ORD-00519,bank_transfer,2024-06-09,252.66,pending
PAY-01435,ORD-01822,gift_card,2023-03-16,1182.01,pending
PAY-02476,ORD-00695,credit_card,2022-04-06,742.13,success
PAY-02662,ORD-02275,paypal,2022-11-11,1618.47,success
PAY-00885,ORD-00517,paypal,2024-08-11,3967.95,failed
PAY-00001,ORD-02497,credit_card,2023-04-18,704.05,success
PAY-00441,ORD-00317,credit_card,2023-11-20,533.78,pending
PAY-01611,ORD-01064,bank_transfer,2024-06-07,168.78,success
PAY-02556,ORD-00643,credit_card,2023-03-31,7.86,success
PAY-01430,ORD-00260,credit_card,2024-06-18,429.06,pending
PAY-00338,ORD-01888,paypal,2024-06-07,196.28,success
PAY-02027,ORD-01764,apple_pay,2024-07-03,773.26,pending
PAY-00564,ORD-00173,credit_card,2024-03-23,146.09,success
PAY-02866,ORD-02045,credit_card,2024-09-07,850.33,failed
PAY-01385,ORD-02675,credit_card,2023-11-30,783.7,success
PAY-01414,ORD-01857,debit_card,2023-05-17,1843.47,success
PAY-00156,ORD-00913,debit_card,2023-01-14,914.31,failed
PAY-00042,ORD-01076,debit_card,2024-02-25,97.94,success
PAY-02384,ORD-00219,debit_card,2022-08-06,161.88,refunded
PAY-00915,ORD-02765,gift_card,2024-05-03,1276.19,success
PAY-02946,ORD-00337,gift_card,2022-05-16,3479.9,failed
PAY-00316,ORD-00741,credit_card,2022-01-07,607.15,success
PAY-01147,ORD-02502,gift_card,2023-03-18,1119.57,success
PAY-02760,ORD-00388,credit_card,2022-09-04,119.36,success
PAY-01201,ORD-01438,google_pay,2022-12-17,328.96,refunded
PAY-02353,ORD-01080,credit_card,2023-05-07,3911.42,pending
PAY-00563,ORD-00423,credit_card,2024-09-29,1106.07,pending
PAY-02676,ORD-01742,paypal,2022-10-05,383.99,success
PAY-01842,ORD-02677,gift_card,2023-05-03,26.67,success
PAY-00058,ORD-00700,bank_transfer,2024-07-23,2598.44,refunded
PAY-02509,ORD-02996,debit_card,2022-04-06,1283.41,success
PAY-00282,ORD-00586,credit_card,2024-02-18,93.38,success
PAY-02939,ORD-00063,credit_card,2026-04-17,1291.85,success
PAY-01037,ORD-01530,paypal,2022-01-29,347.2,success
PAY-01812,ORD-00936,credit_card,2022-08-04,1532.25,success
PAY-02986,ORD-02904,debit_card,2022-11-04,1410.83,success
PAY-01587,ORD-00958,debit_card,2024-03-10,52.85,refunded
PAY-02389,ORD-02434,apple_pay,2024-08-24,139.23,success
PAY-02555,ORD-02565,google_pay,2023-10-07,630.08,success
PAY-02729,ORD-00078,apple_pay,2023-02-14,82.3,success
PAY-03111,ORD-02477,bank_transfer,2022-03-21,957.32,success
PAY-02097,ORD-01178,debit_card,2022-02-06,1035.82,pending
PAY-01775,ORD-02747,credit_card,2023-05-23,64.86,success
PAY-00184,ORD-00568,paypal,2023-08-15,252.45,success
PAY-01940,ORD-02553,credit_card,2022-09-15,700.7,refunded
PAY-00044,ORD-02841,debit_card,2023-10-02,659.19,refunded
PAY-00259,ORD-00610,gift_card,2023-07-20,2491.48,success
PAY-02039,ORD-00710,credit_card,2024-02-25,200.07,pending
PAY-01882,ORD-01973,bank_transfer,2024-11-30,1453.03,success
PAY-01042,ORD-00246,paypal,2023-07-31,248.65,refunded
PAY-01090,ORD-02791,debit_card,2023-07-26,41.94,failed
PAY-02053,ORD-00595,bank_transfer,2022-08-01,85.6,success
PAY-01186,ORD-02706,credit_card,2023-06-30,1392.03,refunded
PAY-01396,ORD-02176,credit_card,2024-07-16,78.97,pending
PAY-02380,ORD-02004,credit_card,2022-05-07,456.06,pending
PAY-00159,ORD-01486,gift_card,2022-11-20,1937.25,success
PAY-01270,ORD-00608,paypal,2023-08-14,1324.68,success
PAY-00805,ORD-00033,other,2023-08-09,755.12,pending
PAY-00933,ORD-01609,debit_card,2024-09-19,891.55,success
PAY-00212,ORD-01893,credit_card,2022-05-03,919.71,refunded
PAY-01340,ORD-02943,paypal,2023-04-27,1128.03,success
PAY-02558,ORD-01819,credit_card,2026-09-24,174.45,refunded
PAY-01799,ORD-02226,debit_card,2022-10-09,914.37,success
PAY-02573,ORD-00235,apple_pay,2024-08-18,321.48,success
PAY-00857,ORD-01512,gift_card,2022-11-23,39.4,refunded
PAY-01673,ORD-02684,paypal,2023-10-30,139.08,success
PAY-00161,ORD-01992,paypal,2024-08-06,222.84,failed
PAY-00076,ORD-00015,google_pay,2024-10-01,5051.27,success
PAY-02127,ORD-00202,credit_card,,867.36,success
PAY-02324,ORD-02965,bank_transfer,2023-04-03,295.9,success
PAY-01124,ORD-00328,credit_card,2023-11-26,141.55,success
PAY-02777,ORD-02638,credit_card,2024-05-04,1656.51,refunded
PAY-00190,ORD-00114,google_pay,2022-07-29,19.7,failed
PAY-01706,ORD-00381,google_pay,2023-11-29,3219.08,pending
PAY-03008,ORD-02282,apple_pay,2022-10-31,19.62,success
PAY-02977,ORD-01226,credit_card,2024-07-12,1732.86,failed
PAY-02498,ORD-01821,debit_card,2022-08-25,1169.83,success
PAY-02940,ORD-00499,gift_card,2024-01-17,378.52,success
PAY-00658,ORD-01487,apple_pay,2023-03-25,906.35,success
PAY-02026,ORD-00682,credit_card,2023-08-13,339.42,success
PAY-00689,ORD-01666,apple_pay,2022-09-07,106.42,pending
PAY-00142,ORD-02159,credit_card,2022-04-23,343.0,pending
PAY-01379,ORD-02383,debit_card,2023-04-02,532.3,refunded
PAY-01126,ORD-01976,debit_card,2023-10-12,833.03,success
PAY-00750,ORD-02655,gift_card,2023-02-08,140.6,refunded
PAY-01122,ORD-02527,bank_transfer,2023-03-30,700.99,success
PAY-01607,ORD-02743,credit_card,,10.1,success
PAY-00846,ORD-02062,credit_card,2023-01-09,844.63,refunded
