order_id,customer_id,store_id,order_date,status,shipping_method
ORD-02423,CUST-0195,STR-001,2022-02-26,shipped,next_day
ORD-01602,CUST-0333,STR-008,2027-12-28,completed,express
ORD-02334,CUST-0247,STR-001,2023-09-13,completed,click_and_collect
ORD-02191,CUST-0048,STR-010,2022-05-14,cancelled,standard
ORD-01858,CUST-0031,STR-008,2022-01-09,completed,next_day
ORD-01242,CUST-0084,STR-006,2023-07-13,completed,express
ORD-00429,CUST-0022,STR-006,2022-10-25,cancelled,click_and_collect
ORD-02231,CUST-0145,STR-001,2022-11-04,processing,express
ORD-00015,CUST-0449,STR-005,2024-09-30,shipped,next_day
ORD-00244,CUST-0449,STR-012,2024-09-24,completed,next_day
ORD-01622,CUST-0330,STR-006,2024-02-25,completed,standard
ORD-01942,CUST-0332,STR-006,2024-02-11,shipped,express
ORD-02978,CUST-0469,STR-003,2022-11-05,completed,click_and_collect
ORD-01710,CUST-0208,STR-004,2024-01-01,shipped,standard
ORD-02558,CUST-0034,STR-012,2022-04-04,shipped,standard
ORD-02199,CUST-0268,STR-010,2023-07-12,processing,click_and_collect
ORD-00354,CUST-0055,STR-004,2024-02-04,refunded,standard
ORD-01022,CUST-0358,STR-006,2022-02-12,,express
ORD-00047,CUST-0369,STR-003,2024-08-28,,express
ORD-01276,CUST-0271,STR-011,2023-09-24,completed,express
ORD-00281,CUST-0374,STR-002,2022-07-12,refunded,click_and_collect
ORD-00597,CUST-0449,STR-005,2023-01-20,completed,standard
ORD-02889,CUST-0278,STR-007,2023-02-21,completed,next_day
ORD-00645,CUST-0142,STR-006,2022-01-24,completed,click_and_collect
ORD-01417,CUST-0128,STR-001,2024-05-28,completed,standard
ORD-01343,CUST-0295,STR-007,2022-12-30,processing,standard
ORD-01781,CUST-0309,STR-011,2023-04-01,completed,standard
ORD-00774,CUST-0219,STR-008,2022-04-04,,next_day
ORD-00998,CUST-0409,STR-011,2023-09-03,completed,next_day
ORD-00878,CUST-0463,STR-009,2024-03-14,processing,click_and_collect
ORD-02688,CUST-0220,STR-001,2024-09-24,refunded,click_and_collect
ORD-00558,CUST-0072,STR-004,2024-10-11,completed,click_and_collect
ORD-02076,CUST-0444,STR-009,2022-02-18,completed,standard
ORD-02482,CUST-0101,STR-005,2024-03-30,completed,standard
ORD-02204,CUST-0302,STR-009,2023-06-13,shipped,click_and_collect
ORD-01527,CUST-0180,STR-001,2024-12-28,shipped,standard
ORD-02928,CUST-0439,STR-008,2022-11-09,shipped,next_day
ORD-00165,CUST-0111,STR-010,2022-01-20,completed,click_and_collect
ORD-02590,CUST-0392,STR-004,2023-09-13,shipped,next_day
ORD-02386,CUST-0199,STR-005,2022-03-09,processing,click_and_collect
ORD-01714,CUST-0379,STR-010,2023-10-05,,standard
ORD-00962,CUST-0288,STR-004,2023-02-19,completed,express
ORD-00709,CUST-0016,STR-009,2022-10-29,shipped,next_day
ORD-00229,CUST-0152,STR-003,2023-09-21,cancelled,standard
ORD-02337,CUST-0425,STR-010,2022-04-21,completed,standard
ORD-00311,CUST-0134,STR-002,2024-03-19,completed,standard
ORD-01395,CUST-0324,STR-006,2022-02-06,shipped,standard
ORD-01259,CUST-0278,STR-011,2023-08-26,refunded,standard
ORD-00448,CUST-0090,STR-008,2022-11-30,refunded,standard
ORD-00808,CUST-0060,STR-003,2024-06-17,,next_day
ORD-02049,CUST-0264,STR-001,2023-02-03,shipped,standard
ORD-02585,CUST-0203,STR-007,2022-11-06,completed,next_day
ORD-02057,CUST-0029,STR-011,2022-03-31,,next_day
ORD-00715,CUST-0863,STR-007,2024-03-08,completed,standard
ORD-02876,CUST-0415,STR-008,2024-04-10,refunded,next_day
ORD-02308,CUST-0363,STR-008,2022-06-28,completed,click_and_collect
ORD-01431,CUST-0272,STR-003,2022-02-16,completed,next_day
ORD-02546,CUST-0162,STR-007,2022-10-20,processing,express
ORD-02768,CUST-0174,STR-003,2022-12-17,cancelled,click_and_collect
ORD-02354,CUST-0139,STR-010,2024-06-04,completed,next_day
ORD-01660,CUST-0038,STR-010,2023-05-15,shipped,express
ORD-01035,CUST-0059,STR-002,2022-11-28,cancelled,standard
ORD-00139,CUST-0499,STR-008,2022-08-16,shipped,standard
ORD-00905,CUST-0350,STR-012,2024-03-19,shipped,standard
ORD-02882,CUST-0496,STR-002,2024-10-30,refunded,express
ORD-00152,CUST-0261,STR-012,2024-11-24,refunded,standard
ORD-00225,CUST-0280,STR-008,2023-07-27,cancelled,standard
ORD-00020,CUST-0166,STR-005,2024-04-22,processing,express
ORD-02601,CUST-0090,STR-007,2023-05-08,completed,next_day
ORD-00040,CUST-0288,STR-008,2023-10-04,completed,standard
ORD-02078,CUST-0422,STR-001,2023-02-08,refunded,standard
ORD-02159,CUST-0354,STR-012,2022-04-20,completed,click_and_collect
ORD-02991,CUST-0450,STR-010,2023-02-04,shipped,standard
ORD-00012,CUST-0145,STR-003,2022-07-01,completed,standard
ORD-01652,CUST-0286,STR-008,2022-03-29,completed,click_and_collect
ORD-00024,CUST-0181,STR-009,2022-04-11,shipped,next_day
ORD-02407,CUST-0001,STR-005,2024-12-28,refunded,standard
ORD-02921,CUST-0234,STR-010,2024-08-17,cancelled,standard
ORD-01719,CUST-0094,STR-011,2022-12-01,completed,next_day
ORD-02137,CUST-0437,STR-009,2023-08-10,completed,standard
ORD-02813,CUST-0467,STR-011,2022-11-12,shipped,standard
ORD-02158,CUST-0112,STR-008,2024-11-04,refunded,standard
ORD-01581,CUST-0215,STR-008,2024-02-19,completed,next_day
ORD-00025,CUST-0081,STR-009,2023-04-15,completed,standard
ORD-00211,CUST-0380,STR-011,2022-08-13,completed,express
ORD-00913,CUST-0208,STR-007,2023-01-13,shipped,click_and_collect
ORD-02096,CUST-0302,STR-010,2024-05-18,completed,next_day
ORD-02223,CUST-0368,STR-004,2022-05-28,completed,standard
ORD-01486,CUST-0476,STR-006,2022-11-17,refunded,click_and_collect
ORD-02239,CUST-0036,STR-001,2023-09-23,shipped,express
ORD-01992,CUST-0047,STR-010,2024-08-05,completed,express
ORD-01993,CUST-0270,STR-012,2023-02-23,completed,express
ORD-00852,CUST-0016,STR-004,2022-01-12,completed,next_day
ORD-01495,CUST-0433,STR-003,2022-12-06,completed,standard
ORD-01618,CUST-0149,STR-005,2024-08-13,completed,next_day
ORD-01098,CUST-0322,STR-012,2022-12-03,completed,standard
ORD-02415,CUST-0432,STR-007,2023-01-08,shipped,standard
ORD-01758,CUST-0257,STR-003,2022-10-28,shipped,standard
ORD-01250,CUST-0909,STR-003,2024-11-20,completed,standard
ORD-01049,CUST-0366,STR-012,2022-09-26,processing,express
ORD-02632,CUST-0429,STR-009,2023-09-18,,standard
ORD-00701,CUST-0402,STR-006,2023-05-24,refunded,standard
ORD-00533,CUST-0413,STR-010,2023-05-18,completed,express
ORD-00187,CUST-0110,STR-003,2023-04-12,shipped,standard
ORD-01756,CUST-0228,STR-004,2024-02-26,refunded,standard
ORD-00451,CUST-0175,STR-011,2024-10-07,processing,click_and_collect
ORD-02375,CUST-0052,STR-009,2023-07-27,completed,standard
ORD-00239,CUST-0486,STR-005,2024-04-02,refunded,click_and_collect
ORD-02569,CUST-0117,STR-004,2024-11-28,refunded,click_and_collect
ORD-01824,CUST-0027,STR-012,2024-02-05,completed,standard
ORD-01478,CUST-0284,STR-004,2022-12-26,shipped,next_day
ORD-00567,CUST-0461,STR-009,2022-02-03,completed,next_day
ORD-02614,CUST-0418,STR-003,2024-07-13,completed,standard
ORD-00568,CUST-0255,STR-010,2023-08-12,completed,express
ORD-01661,CUST-0209,STR-003,2023-01-04,refunded,express
ORD-01984,CUST-0027,STR-002,2022-10-26,shipped,standard
ORD-00199,CUST-0168,STR-006,2023-03-04,completed,express
ORD-01455,CUST-0481,STR-011,2024-08-03,shipped,standard
ORD-02060,CUST-0010,STR-002,2022-11-04,completed,standard
ORD-00114,CUST-0312,STR-012,2022-07-27,completed,standard
ORD-01502,CUST-0398,STR-004,2022-11-29,completed,express
ORD-02376,CUST-0069,STR-003,2022-06-02,cancelled,standard
ORD-02731,CUST-0048,STR-004,2023-04-16,shipped,express
ORD-02975,CUST-0284,STR-007,2022-05-10,completed,click_and_collect
ORD-01967,CUST-0071,STR-006,2026-07-29,refunded,express
ORD-00186,CUST-0396,STR-002,2023-10-05,shipped,express
ORD-02235,CUST-0372,STR-009,2023-08-18,shipped,standard
ORD-00725,CUST-0269,STR-011,2022-05-18,completed,standard
ORD-00135,CUST-0485,STR-001,2023-05-27,processing,click_and_collect
ORD-01295,CUST-0449,STR-006,2024-10-01,refunded,standard
ORD-02042,CUST-0477,STR-004,2024-10-28,completed,standard
ORD-00666,CUST-0175,STR-009,2023-08-25,completed,click_and_collect
ORD-02605,CUST-0498,STR-004,2024-05-22,refunded,click_and_collect
ORD-00976,CUST-0259,STR-003,2027-01-13,shipped,express
ORD-00255,CUST-0177,STR-006,2023-05-25,completed,standard
ORD-01117,CUST-0335,STR-009,2022-01-28,completed,standard
ORD-02037,CUST-0228,STR-007,2023-05-12,shipped,standard
ORD-00056,CUST-0497,STR-001,2024-06-19,processing,standard
ORD-01413,CUST-0215,STR-012,2022-11-09,completed,standard
ORD-01168,CUST-0431,STR-006,2023-04-13,shipped,standard
ORD-01893,CUST-0487,STR-010,2022-04-30,completed,next_day
ORD-01697,CUST-0153,STR-008,2024-12-11,refunded,standard
ORD-00351,CUST-0188,STR-009,2024-05-19,shipped,standard
ORD-02827,CUST-0266,STR-008,2023-12-08,processing,express
ORD-01408,CUST-0401,STR-007,2022-09-24,completed,next_day
ORD-00473,CUST-0157,STR-004,2024-11-26,completed,standard
ORD-00458,CUST-0287,STR-001,2022-10-29,shipped,standard
ORD-01631,CUST-0251,STR-008,2022-12-14,shipped,standard
ORD-01835,CUST-0128,STR-004,2024-11-29,completed,standard
ORD-01516,CUST-0249,STR-010,2022-10-14,refunded,standard
ORD-01101,CUST-0495,STR-010,2023-03-13,completed,standard
ORD-00067,CUST-0015,STR-010,2022-11-10,completed,standard
ORD-02179,CUST-0430,STR-012,2022-05-06,completed,standard
ORD-02718,CUST-0316,STR-009,2022-02-10,completed,click_and_collect
ORD-01281,CUST-0216,STR-002,2022-05-21,completed,click_and_collect
ORD-02323,CUST-0154,STR-010,2022-08-08,completed,click_and_collect
ORD-01247,CUST-0312,STR-009,2022-08-19,completed,standard
ORD-00837,CUST-0318,STR-001,2022-06-24,refunded,standard
ORD-00726,CUST-0046,STR-003,2023-10-06,completed,standard
ORD-02507,CUST-0496,STR-009,2023-12-23,shipped,express
ORD-00554,CUST-0187,STR-003,2023-12-08,completed,standard
ORD-01779,CUST-0337,STR-004,2023-11-06,completed,click_and_collect
ORD-00866,CUST-0422,STR-005,2024-06-01,completed,standard
ORD-02701,CUST-0028,STR-006,2023-10-26,cancelled,next_day
ORD-00003,CUST-0474,STR-004,2022-10-16,cancelled,next_day
ORD-01528,CUST-0154,STR-008,2024-04-22,completed,standard
ORD-02328,CUST-0002,STR-008,2022-02-15,shipped,standard
ORD-02702,CUST-0405,STR-003,2022-10-25,completed,standard
ORD-00288,CUST-0350,STR-003,2022-12-29,completed,next_day
ORD-01179,CUST-0068,STR-005,2024-02-04,shipped,standard
ORD-02929,CUST-0124,STR-011,2023-02-26,shipped,standard
ORD-01815,CUST-0183,STR-010,2023-01-10,processing,express
ORD-00977,CUST-0364,STR-010,2022-04-12,shipped,standard
ORD-00221,CUST-0453,STR-005,2022-09-27,shipped,click_and_collect
ORD-02444,CUST-0370,STR-007,2024-12-30,shipped,standard
ORD-00268,CUST-0283,STR-010,2023-01-17,refunded,express
ORD-02967,CUST-0160,STR-010,2023-02-22,cancelled,click_and_collect
ORD-02897,CUST-0138,STR-006,2024-06-23,processing,express
ORD-00791,CUST-0471,STR-006,2022-05-23,completed,click_and_collect
ORD-02079,CUST-0357,STR-008,2024-09-30,refunded,standard
ORD-02266,CUST-0183,STR-006,2022-04-21,shipped,standard
ORD-02416,CUST-0068,STR-007,2024-09-02,processing,express
ORD-01966,CUST-0417,STR-010,2024-01-23,completed,standard
ORD-02664,CUST-0329,STR-011,2023-09-27,completed,express
ORD-00642,CUST-0276,STR-002,2023-11-12,completed,standard
ORD-01894,CUST-0359,STR-012,2024-07-13,shipped,standard
ORD-02350,CUST-0164,STR-010,2022-03-27,completed,express
ORD-00610,CUST-0115,STR-008,2023-07-19,shipped,standard
ORD-01380,CUST-0278,STR-012,2022-06-18,cancelled,express
ORD-00029,CUST-0419,STR-012,2022-06-23,cancelled,click_and_collect
ORD-02245,CUST-0380,STR-006,2024-01-26,refunded,next_day
ORD-02102,CUST-0078,STR-001,2023-05-12,shipped,standard
ORD-02849,CUST-0160,STR-012,2024-02-16,completed,express
ORD-01330,CUST-0233,STR-003,2022-09-10,completed,standard
ORD-02971,CUST-0347,STR-002,2024-08-22,cancelled,next_day
ORD-01400,CUST-0485,STR-009,2022-01-24,shipped,express
ORD-01875,CUST-0475,STR-002,2022-03-09,completed,next_day
ORD-01222,CUST-0378,STR-012,2022-01-05,shipped,standard
ORD-02084,CUST-0352,STR-011,2023-04-04,refunded,standard
ORD-02367,CUST-0481,STR-010,2022-09-16,completed,standard
ORD-02582,CUST-0206,STR-004,2024-12-31,processing,standard
ORD-02612,CUST-0302,STR-010,2024-08-17,processing,next_day
ORD-00545,CUST-0315,STR-001,2023-01-29,shipped,express
ORD-01243,CUST-0454,STR-003,2022-02-16,processing,standard
ORD-01059,CUST-0029,STR-006,2024-01-25,shipped,express
ORD-02279,CUST-0026,STR-012,2022-10-26,processing,standard
ORD-01230,CUST-0233,STR-002,2023-09-17,completed,standard
ORD-00143,CUST-0425,STR-012,2024-01-15,cancelled,click_and_collect
ORD-00278,CUST-0277,STR-011,2022-01-14,completed,click_and_collect
ORD-00586,CUST-0341,STR-003,2024-02-17,completed,standard
ORD-01802,CUST-0231,STR-005,2022-09-21,completed,next_day
ORD-01214,CUST-0246,STR-004,2024-12-02,shipped,click_and_collect
ORD-00480,CUST-0131,STR-008,2023-07-22,shipped,standard
ORD-00628,CUST-0179,STR-006,2022-12-03,completed,click_and_collect
ORD-00766,CUST-0114,STR-006,2024-01-28,cancelled,standard
ORD-00731,CUST-0087,STR-010,2022-10-16,completed,next_day
ORD-00122,CUST-0244,STR-009,2023-11-29,processing,standard
ORD-01306,CUST-0405,STR-006,2023-10-04,cancelled,standard
ORD-02476,CUST-0084,STR-012,2023-04-29,completed,standard
ORD-00213,CUST-0456,STR-008,2022-10-23,completed,next_day
ORD-01297,CUST-0237,STR-012,2022-06-01,completed,next_day
ORD-01300,CUST-0106,STR-007,2022-11-24,shipped,next_day
ORD-02911,CUST-0073,STR-011,2022-03-11,processing,standard
ORD-02243,CUST-0332,STR-007,2022-01-01,processing,click_and_collect
ORD-00955,CUST-0302,STR-006,2022-07-20,completed,click_and_collect
ORD-02715,CUST-0242,STR-010,2022-05-12,refunded,next_day
ORD-02428,CUST-0060,STR-010,2024-12-01,completed,standard
ORD-02988,CUST-0021,STR-008,2023-07-16,completed,click_and_collect
ORD-00573,CUST-0002,STR-004,2023-07-08,completed,express
ORD-01299,CUST-0385,STR-010,2023-06-22,completed,standard
ORD-00987,CUST-0008,STR-001,2023-06-10,completed,next_day
ORD-01361,CUST-0013,STR-011,2023-12-08,shipped,next_day
ORD-01321,CUST-0054,STR-010,2024-08-03,shipped,click_and_collect
ORD-00708,CUST-0492,STR-007,2022-08-30,refunded,next_day
ORD-01002,CUST-0323,STR-012,2022-02-26,refunded,standard
ORD-02847,CUST-0020,STR-002,2024-11-17,cancelled,standard
ORD-01416,CUST-0364,STR-010,2023-02-05,completed,next_day
ORD-02232,CUST-0042,STR-005,2023-12-20,completed,standard
ORD-00825,CUST-0271,STR-008,2023-02-10,completed,standard
ORD-00741,CUST-0076,STR-001,2022-01-05,completed,standard
ORD-02161,CUST-0408,STR-011,2022-08-24,completed,express
ORD-00240,CUST-0228,STR-003,2023-11-02,,standard
ORD-03000,CUST-0429,STR-009,2023-09-25,completed,express
ORD-02825,CUST-0165,STR-001,2023-02-26,completed,standard
ORD-01690,CUST-0222,STR-008,2023-01-24,completed,click_and_collect
ORD-00575,CUST-0183,STR-002,2024-03-05,cancelled,standard
ORD-01159,CUST-0221,STR-002,2023-03-24,completed,click_and_collect
ORD-00096,CUST-0163,STR-003,2023-11-01,shipped,next_day
ORD-02749,CUST-0256,STR-006,2023-07-10,completed,next_day
ORD-00320,CUST-0371,STR-006,2022-10-21,completed,standard
ORD-01794,CUST-0378,STR-006,2023-12-12,completed,next_day
ORD-02735,CUST-0314,STR-001,2023-03-10,shipped,next_day
ORD-02899,CUST-0139,STR-008,2023-12-18,,standard
ORD-02893,CUST-0032,STR-009,2024-05-03,shipped,next_day
ORD-00297,CUST-0043,STR-008,2022-08-02,processing,next_day
ORD-02478,CUST-0233,STR-007,2023-10-01,processing,next_day
ORD-01929,CUST-0274,STR-006,2023-08-01,refunded,standard
ORD-00529,CUST-0108,STR-001,2022-12-01,completed,click_and_collect
ORD-02584,CUST-0122,STR-005,2024-08-31,completed,click_and_collect
ORD-01865,CUST-0329,STR-007,2024-02-24,refunded,express
ORD-01888,CUST-0112,STR-006,2024-06-06,completed,express
ORD-02271,CUST-0315,STR-010,2022-11-09,completed,click_and_collect
ORD-01574,CUST-0106,STR-003,2022-05-23,completed,next_day
ORD-00940,CUST-0283,STR-002,2023-10-19,refunded,standard
ORD-00093,CUST-0095,STR-004,2024-06-13,completed,standard
ORD-02914,CUST-0007,STR-005,2024-06-19,cancelled,click_and_collect
ORD-01272,CUST-0254,STR-003,2023-07-09,cancelled,click_and_collect
ORD-01183,CUST-0241,STR-011,2024-11-01,completed,standard
ORD-00392,CUST-0102,STR-012,2023-08-07,completed,standard
ORD-00721,CUST-0254,STR-008,2023-07-31,completed,click_and_collect
ORD-01312,CUST-0464,STR-006,2024-12-23,shipped,express
ORD-02447,CUST-0046,STR-005,2022-11-11,shipped,express
ORD-01426,CUST-0480,STR-008,2023-05-08,processing,click_and_collect
ORD-02942,CUST-0180,STR-008,2023-07-11,refunded,standard
ORD-00646,CUST-0166,STR-003,2022-06-16,completed,express
ORD-02378,CUST-0467,STR-007,2022-01-04,shipped,standard
ORD-02132,CUST-0187,STR-007,2022-10-18,shipped,standard
ORD-00665,CUST-0182,STR-006,2022-03-28,completed,click_and_collect
ORD-02189,CUST-0019,STR-011,2023-05-11,shipped,express
ORD-01174,CUST-0418,STR-001,2024-05-24,processing,next_day
ORD-01303,CUST-0041,STR-005,2023-11-21,completed,click_and_collect
ORD-00262,CUST-0276,STR-003,2022-06-05,completed,click_and_collect
ORD-01473,CUST-0442,STR-001,2024-12-15,completed,express
ORD-00506,CUST-0274,STR-003,2022-01-18,completed,standard
ORD-01133,CUST-0062,STR-010,2022-02-18,processing,express
ORD-00876,CUST-0044,STR-005,2022-07-07,completed,standard
ORD-01268,CUST-0308,STR-007,2022-07-17,completed,next_day
ORD-01645,CUST-0412,STR-009,2023-03-05,shipped,standard
ORD-01996,CUST-0104,STR-011,2024-04-27,completed,click_and_collect
ORD-00561,CUST-0456,STR-009,2023-02-07,completed,express
ORD-02503,CUST-0259,STR-001,2022-03-19,completed,standard
ORD-01952,CUST-0201,STR-008,2024-06-23,processing,click_and_collect
ORD-01163,CUST-0150,STR-003,2023-03-02,completed,standard
ORD-02452,CUST-0361,STR-003,2024-07-10,completed,next_day
ORD-02501,CUST-0311,STR-009,2024-10-22,shipped,next_day
ORD-00986,CUST-0070,STR-004,2024-08-04,shipped,next_day
ORD-01244,CUST-0211,STR-007,2023-09-16,processing,next_day
ORD-00107,CUST-0962,STR-010,2024-11-20,processing,express
ORD-02048,CUST-0089,STR-010,2024-05-20,processing,next_day
ORD-02094,CUST-0391,STR-012,2024-05-21,completed,standard
ORD-01256,CUST-0474,STR-008,2022-01-27,completed,standard
ORD-01311,CUST-0022,STR-005,2022-10-05,processing,standard
ORD-01696,CUST-0097,STR-004,2022-12-25,completed,standard
ORD-02995,CUST-0066,STR-005,2024-03-30,refunded,click_and_collect
ORD-00771,CUST-0407,STR-001,2024-01-16,completed,standard
ORD-01928,CUST-0057,STR-012,2023-05-21,shipped,next_day
ORD-00552,CUST-0038,STR-005,2023-10-18,processing,express
ORD-01200,CUST-0407,STR-003,2024-01-05,completed,express
ORD-01873,CUST-0006,STR-005,2022-06-20,completed,standard
ORD-00177,CUST-0210,STR-006,2022-10-14,completed,standard
ORD-01407,CUST-0002,STR-009,2024-05-06,shipped,standard
ORD-02970,CUST-0493,STR-003,2023-06-28,completed,standard
ORD-02937,CUST-0281,STR-009,2022-02-16,completed,click_and_collect
ORD-01676,CUST-0162,STR-012,2022-01-25,shipped,standard
ORD-02750,CUST-0093,STR-007,2024-05-26,cancelled,next_day
ORD-02216,CUST-0388,STR-004,2023-08-12,shipped,next_day
ORD-00994,CUST-0110,STR-012,2023-06-09,completed,standard
ORD-02192,CUST-0009,STR-010,2023-09-18,completed,standard
ORD-00669,CUST-0358,STR-009,2023-07-19,completed,express
ORD-00010,CUST-0362,STR-009,2022-03-14,completed,standard
ORD-01013,CUST-0801,STR-005,2023-03-19,completed,standard
ORD-01140,CUST-0326,STR-010,2022-10-09,shipped,standard
ORD-02426,CUST-0070,STR-009,2024-09-14,completed,standard
ORD-00717,CUST-0497,STR-001,2022-05-16,completed,next_day
ORD-02090,CUST-0119,STR-006,2024-09-03,completed,standard
ORD-00439,CUST-0006,STR-012,2023-12-04,completed,standard
ORD-02496,CUST-0241,STR-002,2024-10-15,shipped,standard
ORD-01844,CUST-0282,STR-011,2022-12-30,completed,standard
ORD-00353,CUST-0044,STR-011,2024-11-08,completed,standard
ORD-01956,CUST-0099,STR-001,2023-05-17,shipped,standard
ORD-01351,CUST-0098,STR-001,2022-12-18,completed,standard
ORD-00653,CUST-0265,STR-005,2024-04-09,completed,standard
ORD-02302,CUST-0079,STR-004,2022-03-27,cancelled,next_day
ORD-00432,CUST-0282,STR-011,2023-04-10,shipped,express
ORD-02997,CUST-0255,STR-012,2023-08-28,completed,standard
ORD-01292,CUST-0084,STR-002,2024-04-18,completed,standard
ORD-02918,CUST-0343,STR-003,2022-03-03,completed,click_and_collect
ORD-02408,CUST-0225,STR-012,2022-08-28,shipped,express
ORD-00705,CUST-0061,STR-008,2022-03-04,completed,click_and_collect
ORD-02909,CUST-0459,STR-004,2022-12-28,refunded,standard
ORD-01636,CUST-0274,STR-007,2023-04-07,completed,standard
ORD-02687,CUST-0166,STR-006,2022-04-15,shipped,standard
ORD-02303,CUST-0275,STR-012,2024-05-15,shipped,click_and_collect
ORD-02692,CUST-0289,STR-001,2023-01-12,refunded,express
ORD-01596,CUST-0123,STR-010,2022-04-27,completed,express
ORD-01012,CUST-0303,STR-011,2022-02-27,completed,standard
ORD-02274,CUST-0326,STR-003,2023-05-28,completed,express
ORD-01206,CUST-0133,STR-010,2023-11-27,completed,click_and_collect
ORD-00505,CUST-0092,STR-009,2024-08-05,shipped,click_and_collect
ORD-01760,CUST-0372,STR-003,2024-08-28,refunded,next_day
ORD-00438,CUST-0349,STR-002,2024-07-15,shipped,standard
ORD-02793,CUST-0025,STR-004,2023-05-17,completed,click_and_collect
ORD-01412,CUST-0065,STR-004,2023-07-11,completed,standard
ORD-02234,CUST-0330,STR-012,2023-07-23,shipped,standard
ORD-02648,CUST-0169,STR-012,2024-01-17,completed,standard
