inventory_id,product_id,store_id,quantity_on_hand,reorder_point,last_restocked
INV-00065,PROD-0012,STR-008,276,25,2024/03/22
INV-00066,PROD-0012,STR-012,494,22,2024-06-27
INV-00067,PROD-0012,STR-005,268,23,2024-04-23
INV-00068,PROD-0012,STR-007,308,12,2024-07-28
INV-00069,PROD-0012,STR-004,313,65,2024-08-23
INV-00070,PROD-0012,STR-003,102,91,2024-06-03
INV-00071,PROD-0012,STR-001,402,82,2024-10-03
INV-00072,PROD-0013,STR-004,458,12,2024-01-25
INV-00073,PROD-0013,STR-003,400,92,2024-04-23
INV-00074,PROD-0013,STR-006,241,19,2024-06-08
INV-00075,PROD-0013,STR-002,315,,2024-06-21
INV-00076,PROD-0013,STR-005,362,32,2024-06-16
INV-00077,PROD-0013,STR-011,144,84,2024-08-31
INV-00078,PROD-0014,STR-010,256,63,2024-03-30
INV-00079,PROD-0014,STR-012,429,53,2024-12-04
INV-00080,PROD-0014,STR-004,91,99,2024-04-11
INV-00081,PROD-0014,STR-006,387,78,2024-10-06
INV-00082,PROD-0014,STR-011,456,19,2024-06-14
INV-00083,PROD-0015,STR-009,258,41,2024-11-24
INV-00084,PROD-0015,STR-011,74,52,2024-07-29
INV-00085,PROD-0015,STR-004,337,23,2024-05-26
INV-00086,PROD-0015,STR-002,385,88,03-12-2024
INV-00087,PROD-0015,STR-010,62,17,2024-12-05
INV-00088,PROD-0015,STR-003,207,78,2024-12-17
INV-00089,PROD-0015,STR-001,272,72,16/06/2024
INV-00090,PROD-0016,STR-002,366,48,2024-04-26
INV-00091,PROD-0016,STR-011,148,84,2024-03-21
INV-00092,PROD-0016,STR-001,179,57,2024-08-19
INV-00093,PROD-0016,STR-003,363,17,2024-12-30
INV-00094,PROD-0016,STR-006,38,78,2024-05-21
INV-00095,PROD-0016,STR-009,499,13,2024-06-26
INV-00096,PROD-0016,STR-008,186,92,2024-06-08
INV-00097,PROD-0017,STR-011,102,53,2024-01-22
INV-00098,PROD-0017,STR-001,172,99,2024-02-07
INV-00099,PROD-0017,STR-002,396,46,12-28-2024
INV-00100,PROD-0017,STR-004,216,58,2024-11-09
INV-00101,PROD-0018,STR-011,185,,2024-05-31
INV-00102,PROD-0018,STR-010,423,20,2024-07-20
INV-00103,PROD-0018,STR-001,215,65,2024-09-01
INV-00104,PROD-0018,STR-005,431,10,2024-09-10
INV-00105,PROD-0018,STR-002,378,41,2024-05-28
INV-00106,PROD-0018,STR-009,111,24,2024-07-17
INV-00107,PROD-0018,STR-012,321,38,2024-09-19
INV-00108,PROD-0018,STR-008,353,25,2024-05-02
INV-00109,PROD-0019,STR-009,243,62,2024-08-18
INV-00110,PROD-0019,STR-004,29,34,2024/12/23
INV-00111,PROD-0019,STR-011,67,11,2024-12-15
INV-00112,PROD-0019,STR-003,228,40,2024-09-05
INV-00113,PROD-0019,STR-007,179,90,2024-03-20
INV-00114,PROD-0019,STR-005,303,89,2024-06-05
INV-00115,PROD-0020,STR-012,321,91,2024-10-31
INV-00116,PROD-0020,STR-001,451,21,2024-07-01
INV-00117,PROD-0020,STR-006,283,42,2024-05-13
INV-00118,PROD-0020,STR-009,141,98,2024/03/17
INV-00119,PROD-0020,STR-011,92,85,2024-05-24
INV-00120,PROD-0020,STR-005,347,12,2024-09-29
INV-00121,PROD-0020,STR-007,211,24,2024-02-19
INV-00122,PROD-0021,STR-002,294,53,2024-12-11
INV-00123,PROD-0021,STR-007,67,31,2024-01-13
INV-00124,PROD-0021,STR-001,221,74,2024-02-11
INV-00125,PROD-0021,STR-012,365,62,2024-10-26
INV-00126,PROD-0021,STR-003,63,89,2024-10-20
INV-00127,PROD-0021,STR-004,319,47,2024-03-03
INV-00128,PROD-0021,STR-005,60,50,2024-09-09
INV-00129,PROD-0022,STR-002,233,15,2024-01-03
INV-00130,PROD-0022,STR-005,267,24,2024-09-11
INV-00131,PROD-0022,STR-007,298,34,2024-05-08
INV-00132,PROD-0022,STR-006,456,78,2024-04-21
INV-00133,PROD-0022,STR-008,46,49,2024-12-05
INV-00134,PROD-0022,STR-010,366,70,2024-01-18
INV-00135,PROD-0022,STR-012,425,18,2024-05-31
INV-00136,PROD-0023,STR-005,419,96,2024-08-11
INV-00137,PROD-0023,STR-004,451,,2024/02/23
INV-00138,PROD-0023,STR-002,345,,16/10/2024
INV-00139,PROD-0023,STR-003,225,48,2024-02-24
INV-00140,PROD-0023,STR-007,16,96,2024-02-24
INV-00141,PROD-0023,STR-009,438,94,2024-05-30
INV-00142,PROD-0023,STR-011,440,88,2024-01-02
INV-00143,PROD-0024,STR-002,-15,75,2024-10-18
INV-00144,PROD-0024,STR-012,210,25,15/03/2024
INV-00145,PROD-0024,STR-001,133,46,2024-05-25
INV-00146,PROD-0024,STR-011,488,47,09/08/2024
INV-00147,PROD-0024,STR-005,332,89,2024-05-04
INV-00148,PROD-0024,STR-010,210,27,2024-01-17
INV-00149,PROD-0024,STR-003,402,65,2024-12-20
INV-00150,PROD-0025,STR-006,111,49,2024-11-06
INV-00151,PROD-0025,STR-005,22,48,2024-07-30
INV-00152,PROD-0025,STR-009,190,91,2024/05/15
INV-00153,PROD-0026,STR-004,38,96,2024-01-21
INV-00154,PROD-0026,STR-007,205,49,04/08/2024
INV-00155,PROD-0026,STR-010,99,78,2024-04-27
INV-00156,PROD-0026,STR-003,267,95,2024-06-22
INV-00157,PROD-0027,STR-012,15,40,2024-09-13
INV-00158,PROD-0027,STR-002,176,25,07-26-2024
INV-00159,PROD-0027,STR-007,235,78,2024-03-08
INV-00160,PROD-0027,STR-001,269,,2024-03-02
INV-00161,PROD-0027,STR-005,274,56,2024-10-04
INV-00162,PROD-0027,STR-008,-44,38,2024-01-29
INV-00163,PROD-0028,STR-009,183,31,2024-06-02
INV-00164,PROD-0028,STR-012,447,88,2024-05-31
INV-00165,PROD-0028,STR-001,398,95,12-01-2024
INV-00166,PROD-0028,STR-004,93,52,2024-05-03
INV-00167,PROD-0028,STR-003,27,54,2024-03-13
INV-00168,PROD-0028,STR-007,330,87,2024-05-27
INV-00169,PROD-0028,STR-006,301,40,2024-02-14
INV-00170,PROD-0029,STR-003,374,48,2024-07-04
INV-00171,PROD-0029,STR-012,473,41,2024-07-13
INV-00172,PROD-0029,STR-009,268,13,10-26-2024
INV-00173,PROD-0029,STR-006,21,89,2024-08-29
INV-00174,PROD-0029,STR-001,27,83,2024-04-12
INV-00175,PROD-0030,STR-009,292,69,2024-04-02
INV-00176,PROD-0030,STR-010,296,38,2024-08-26
INV-00177,PROD-0030,STR-003,256,37,2024-03-29
INV-00178,PROD-0030,STR-011,345,,2024-09-04
INV-00179,PROD-0030,STR-012,305,55,2024/10/16
INV-00180,PROD-0030,STR-005,181,100,2024-11-24
INV-00181,PROD-0031,STR-001,-9,97,16/05/2024
INV-00182,PROD-0031,STR-005,412,46,2024-10-01
INV-00183,PROD-0031,STR-008,89,13,2024-03-27
INV-00184,PROD-0031,STR-012,360,62,10-14-2024
INV-00185,PROD-0031,STR-004,395,60,2024-03-21
INV-00186,PROD-0031,STR-006,62,23,08-21-2024
INV-00187,PROD-0032,STR-006,456,58,2024-08-29
INV-00188,PROD-0032,STR-003,340,82,2024-10-16
INV-00189,PROD-0032,STR-002,35,89,2024-09-06
INV-00190,PROD-0032,STR-012,151,20,2024-10-19
INV-00191,PROD-0032,STR-007,390,65,2024-12-29
INV-00192,PROD-0032,STR-009,263,66,2024-04-20
INV-00193,PROD-0032,STR-001,177,84,2024-01-27
INV-00194,PROD-0033,STR-008,129,33,2024-02-19
INV-00195,PROD-0033,STR-003,70,60,2024-05-31
INV-00196,PROD-0033,STR-007,313,58,2024-01-27
INV-00197,PROD-0034,STR-009,335,67,2024-10-04
INV-00198,PROD-0034,STR-008,488,80,2024-04-02
INV-00199,PROD-0034,STR-012,192,14,07-31-2024
INV-00200,PROD-0034,STR-003,232,75,2024-10-07
INV-00201,PROD-0034,STR-011,277,86,2024-06-10
INV-00202,PROD-0035,STR-002,449,86,03-06-2024
INV-00203,PROD-0035,STR-012,249,90,2024-10-18
INV-00204,PROD-0035,STR-007,230,59,2024-05-14
INV-00205,PROD-0035,STR-006,206,78,02-18-2024
INV-00206,PROD-0036,STR-008,248,54,2024-08-10
INV-00207,PROD-0036,STR-004,113,96,2024/03/18
INV-00208,PROD-0036,STR-009,115,28,2024/10/23
INV-00209,PROD-0036,STR-007,53,99,2024-07-21
INV-00210,PROD-0036,STR-003,44,38,2024-05-11
INV-00211,PROD-0036,STR-011,207,84,2024-11-28
INV-00212,PROD-0037,STR-010,226,41,2024-07-07
INV-00213,PROD-0037,STR-003,184,93,2024-01-18
INV-00214,PROD-0037,STR-001,288,94,2024-08-06
INV-00215,PROD-0037,STR-007,183,11,18/02/2024
INV-00216,PROD-0038,STR-010,0,46,2024-04-14
INV-00217,PROD-0038,STR-005,69,64,2024-11-25
INV-00218,PROD-0038,STR-011,340,30,2024-06-14
INV-00219,PROD-0038,STR-012,362,62,2024-07-20
INV-00220,PROD-0038,STR-002,461,14,2024-08-10
INV-00221,PROD-0038,STR-008,375,60,2024-07-17
INV-00222,PROD-0038,STR-006,339,27,2024-03-21
INV-00223,PROD-0039,STR-009,11,74,2024-12-10
INV-00224,PROD-0039,STR-005,100,44,2024-04-06
INV-00225,PROD-0039,STR-007,410,41,2024/07/06
INV-00226,PROD-0039,STR-010,51,10,2024-05-15
INV-00227,PROD-0039,STR-004,49,40,2024-11-19
INV-00228,PROD-0040,STR-006,126,78,2024-09-19
INV-00229,PROD-0040,STR-008,299,79,2024-03-09
INV-00230,PROD-0040,STR-011,144,60,31/03/2024
INV-00231,PROD-0040,STR-009,103,10,2024-06-14
INV-00232,PROD-0040,STR-004,205,,2024-02-07
INV-00233,PROD-0040,STR-002,353,48,2024-10-03
INV-00234,PROD-0040,STR-010,119,52,2024-02-15
INV-00235,PROD-0040,STR-005,447,25,2024-12-24
INV-00236,PROD-0041,STR-008,362,57,2024-03-09
INV-00237,PROD-0041,STR-011,134,60,2024-01-27
INV-00238,PROD-0041,STR-006,313,36,2024-01-31
INV-00239,PROD-0041,STR-005,479,16,2024-09-01
INV-00240,PROD-0041,STR-012,385,13,2024-04-25
INV-00241,PROD-0041,STR-003,60,42,2024-05-04
INV-00242,PROD-0041,STR-001,233,11,11-28-2024
INV-00243,PROD-0041,STR-010,8,31,25/07/2024
INV-00244,PROD-0042,STR-007,278,54,2024-11-29
INV-00245,PROD-0042,STR-002,492,55,2024-11-19
INV-00246,PROD-0042,STR-011,479,48,2024-09-23
INV-00247,PROD-0042,STR-008,-31,93,2024-07-13
INV-00248,PROD-0042,STR-004,260,92,06-20-2024
INV-00249,PROD-0043,STR-004,361,40,2024-11-24
INV-00250,PROD-0043,STR-008,289,39,2024-03-14
INV-00251,PROD-0043,STR-002,247,54,2024-04-21
INV-00252,PROD-0043,STR-010,327,96,2024-05-27
INV-00253,PROD-0043,STR-003,490,39,2024-06-15
INV-00254,PROD-0043,STR-005,208,63,2024-07-27
INV-00255,PROD-0043,STR-001,482,70,06/01/2024
INV-00256,PROD-0044,STR-010,2,29,2024-06-14
INV-00257,PROD-0044,STR-005,181,27,06-08-2024
INV-00258,PROD-0044,STR-011,240,84,2024-04-25
INV-00259,PROD-0045,STR-004,-26,92,2024-04-08
INV-00260,PROD-0045,STR-002,49,41,2024-05-25
INV-00261,PROD-0045,STR-001,85,19,2024-02-22
INV-00262,PROD-0046,STR-010,300,57,08/10/2024
INV-00263,PROD-0046,STR-003,417,31,2024-04-08
INV-00264,PROD-0046,STR-004,285,24,2024-01-29
INV-00265,PROD-0046,STR-012,182,89,2024-12-05
INV-00266,PROD-0046,STR-009,328,28,2024-02-26
INV-00267,PROD-0046,STR-005,343,31,2024-04-13
INV-00268,PROD-0047,STR-009,61,28,2024-07-06
INV-00269,PROD-0047,STR-012,317,71,09/06/2024
INV-00270,PROD-0047,STR-011,108,17,2024-12-26
INV-00271,PROD-0047,STR-006,205,49,2024-03-10
INV-00272,PROD-0047,STR-002,167,,2024-09-21
INV-00273,PROD-0047,STR-010,488,53,2024-10-16
INV-00274,PROD-0048,STR-005,496,74,11-28-2024
INV-00275,PROD-0048,STR-012,35,87,04-04-2024
INV-00276,PROD-0048,STR-002,52,89,05/10/2024
INV-00277,PROD-0048,STR-008,470,,2024-05-14
INV-00278,PROD-0049,STR-002,-50,87,2024-06-03
INV-00279,PROD-0049,STR-010,406,86,2024-01-31
INV-00280,PROD-0049,STR-001,222,24,2024-09-18
INV-00281,PROD-0050,STR-008,103,27,2024-04-11
INV-00282,PROD-0050,STR-005,35,61,2024-11-10
INV-00283,PROD-0050,STR-004,493,89,2024-08-19
INV-00284,PROD-0050,STR-002,241,34,2024-10-23
INV-00285,PROD-0050,STR-006,72,98,2024-01-06
INV-00286,PROD-0050,STR-010,246,23,2024-12-11
INV-00287,PROD-0050,STR-007,249,62,2024-05-03
INV-00288,PROD-0050,STR-009,70,48,05/09/2024
INV-00289,PROD-0051,STR-009,256,,2024-06-25
INV-00290,PROD-0051,STR-007,466,56,2024-06-14
INV-00291,PROD-0051,STR-012,390,50,2024-11-17
INV-00292,PROD-0051,STR-004,155,94,2024-09-08
INV-00293,PROD-0051,STR-001,371,97,2024-05-20
INV-00294,PROD-0052,STR-003,273,87,2024/01/03
INV-00295,PROD-0052,STR-002,420,67,2024/05/08
INV-00296,PROD-0052,STR-010,133,68,2024-04-20
INV-00297,PROD-0052,STR-011,89,20,2024-02-06
INV-00298,PROD-0052,STR-006,242,57,2024-02-15
INV-00299,PROD-0052,STR-007,102,68,2024-06-09
INV-00300,PROD-0053,STR-007,86,18,2024-12-07
INV-00301,PROD-0053,STR-012,300,23,2024-10-12
INV-00302,PROD-0053,STR-002,348,66,2024-08-04
INV-00303,PROD-0054,STR-005,213,14,2024-06-04
INV-00304,PROD-0054,STR-010,195,21,2024-11-23
INV-00305,PROD-0054,STR-007,117,68,02/12/2024
INV-00306,PROD-0054,STR-008,264,92,2024-05-25
INV-00307,PROD-0054,STR-002,221,29,2024-08-01
INV-00308,PROD-0054,STR-011,16,43,2024-02-22
INV-00309,PROD-0054,STR-001,89,34,2024-02-16
INV-00310,PROD-0054,STR-012,34,86,2024-05-21
INV-00311,PROD-0055,STR-007,207,44,2024-11-02
INV-00312,PROD-0055,STR-008,96,65,2024-06-06
INV-00313,PROD-0055,STR-012,145,43,2024-03-08
INV-00314,PROD-0055,STR-006,57,,2024-09-04
INV-00315,PROD-0055,STR-003,252,55,2024-11-21
INV-00316,PROD-0055,STR-005,449,87,26/11/2024
INV-00317,PROD-0055,STR-004,392,56,2024-02-17
INV-00318,PROD-0056,STR-011,480,51,2024-08-01
INV-00319,PROD-0056,STR-010,413,55,2024-09-26
INV-00320,PROD-0056,STR-001,92,68,2024/01/09
INV-00321,PROD-0056,STR-006,445,76,2024-07-28
INV-00322,PROD-0056,STR-009,-1,36,2024-12-07
INV-00323,PROD-0056,STR-005,129,65,09/02/2024
INV-00324,PROD-0056,STR-008,250,85,2024-08-04
INV-00325,PROD-0057,STR-004,390,44,2024-08-29
INV-00326,PROD-0057,STR-001,421,31,22/03/2024
INV-00327,PROD-0057,STR-002,90,65,2024-04-22
INV-00328,PROD-0057,STR-008,382,71,2024-01-21
INV-00329,PROD-0057,STR-009,15,53,2024-02-23
INV-00330,PROD-0057,STR-011,335,38,2024-03-10
INV-00331,PROD-0057,STR-007,39,79,2024-08-16
INV-00332,PROD-0057,STR-005,447,42,2024-01-31
INV-00333,PROD-0058,STR-005,332,70,2024-04-07
INV-00334,PROD-0058,STR-002,323,45,2024-04-26
INV-00335,PROD-0058,STR-007,-40,48,2024-07-26
INV-00336,PROD-0058,STR-006,6,53,2024/08/20
INV-00337,PROD-0058,STR-001,269,76,2024-03-18
INV-00338,PROD-0058,STR-003,176,87,2024-02-16
INV-00339,PROD-0058,STR-004,84,51,2024-01-17
INV-00340,PROD-0058,STR-008,197,85,2024/03/31
INV-00341,PROD-0059,STR-007,99,96,2024-03-27
INV-00342,PROD-0059,STR-012,248,21,2024-12-08
INV-00343,PROD-0059,STR-010,44,40,2024-05-12
INV-00344,PROD-0059,STR-009,81,52,2024-04-24
INV-00345,PROD-0059,STR-003,309,96,2024-03-07
INV-00346,PROD-0059,STR-011,273,83,2024-04-07
INV-00347,PROD-0059,STR-004,206,40,2024-11-14
INV-00348,PROD-0059,STR-008,447,86,2024-12-19
INV-00349,PROD-0060,STR-012,94,58,2024-10-15
INV-00350,PROD-0060,STR-011,162,77,2024-02-24
INV-00351,PROD-0060,STR-004,138,39,2024-12-20
INV-00352,PROD-0060,STR-006,172,60,18/04/2024
INV-00353,PROD-0061,STR-008,236,100,2024/12/03
INV-00354,PROD-0061,STR-004,277,,2024-11-28
INV-00355,PROD-0061,STR-011,387,23,23/04/2024
INV-00356,PROD-0061,STR-002,108,79,2024-11-02
INV-00357,PROD-0062,STR-006,385,86,2024-07-15
INV-00358,PROD-0062,STR-010,90,41,2024-05-26
INV-00359,PROD-0062,STR-011,490,83,2024-08-25
INV-00360,PROD-0062,STR-008,455,55,2024-05-18
INV-00361,PROD-0062,STR-007,286,81,2024-11-19
INV-00362,PROD-0063,STR-010,293,90,2024/11/12
INV-00363,PROD-0063,STR-006,395,96,2024-05-13
INV-00364,PROD-0063,STR-009,203,83,2024-05-10
INV-00365,PROD-0063,STR-012,443,71,2024-06-10
INV-00366,PROD-0063,STR-007,191,17,2024-01-30
INV-00367,PROD-0063,STR-001,499,100,2024-06-10
INV-00368,PROD-0063,STR-002,99,41,2024-04-09
INV-00369,PROD-0064,STR-012,282,43,2024-01-13
INV-00370,PROD-0064,STR-006,399,79,2024-04-29
INV-00371,PROD-0064,STR-008,195,,2024-06-24
INV-00372,PROD-0065,STR-007,36,45,2024-04-26
INV-00373,PROD-0065,STR-005,223,82,10-26-2024
INV-00374,PROD-0065,STR-009,68,45,2024-09-03
INV-00375,PROD-0065,STR-004,414,86,2024-05-05
INV-00376,PROD-0065,STR-011,460,24,2024/01/10
INV-00377,PROD-0065,STR-006,487,49,2024-07-13
INV-00378,PROD-0065,STR-003,187,42,2024-05-30
INV-00379,PROD-0066,STR-002,167,82,2024-07-26
INV-00380,PROD-0066,STR-003,137,13,2024-05-26
INV-00381,PROD-0066,STR-009,338,94,2024-05-28
INV-00382,PROD-0067,STR-009,466,70,10-09-2024
INV-00383,PROD-0067,STR-012,97,52,2024-10-28
INV-00384,PROD-0067,STR-001,137,48,06-20-2024
INV-00385,PROD-0067,STR-005,296,47,2024-10-26
INV-00386,PROD-0067,STR-002,67,86,2024-12-16
INV-00387,PROD-0067,STR-008,356,84,2024-08-28
INV-00388,PROD-0068,STR-007,355,35,2024-07-06
INV-00389,PROD-0068,STR-005,57,15,2024-08-28
INV-00390,PROD-0068,STR-009,396,54,2024-06-09
INV-00391,PROD-0068,STR-008,452,34,28/09/2024
INV-00392,PROD-0068,STR-006,476,54,2024-02-19
INV-00393,PROD-0068,STR-012,271,34,2024-04-11
INV-00394,PROD-0069,STR-008,417,58,2024-11-09
INV-00395,PROD-0069,STR-006,166,74,2024/03/15
INV-00396,PROD-0069,STR-012,87,83,2024-06-24
INV-00397,PROD-0069,STR-005,30,67,2024-02-07
INV-00398,PROD-0069,STR-002,251,63,2024-01-07
INV-00399,PROD-0069,STR-009,99,41,2024-09-14
INV-00400,PROD-0070,STR-009,36,74,2024-06-16
INV-00401,PROD-0070,STR-011,175,29,2024-08-28
INV-00402,PROD-0070,STR-007,308,33,2024-07-23
INV-00403,PROD-0070,STR-003,57,39,2024-07-21
INV-00404,PROD-0070,STR-008,36,46,2024-04-12
INV-00405,PROD-0070,STR-010,446,93,2024-09-06
INV-00406,PROD-0071,STR-006,314,33,2024-06-29
INV-00407,PROD-0071,STR-012,26,46,2024-08-23
INV-00408,PROD-0071,STR-009,46,64,2024-02-26
INV-00409,PROD-0072,STR-004,270,,09/05/2024
INV-00410,PROD-0072,STR-008,179,44,2024-08-26
INV-00411,PROD-0072,STR-012,414,45,2024-09-17
INV-00412,PROD-0072,STR-010,317,88,2024-02-26
INV-00413,PROD-0072,STR-007,15,21,12/06/2024
INV-00414,PROD-0073,STR-012,94,82,2024-11-06
INV-00415,PROD-0073,STR-011,328,23,2024-05-29
INV-00416,PROD-0073,STR-002,358,,2024-08-29
INV-00417,PROD-0073,STR-006,129,23,2024-10-23
INV-00418,PROD-0073,STR-001,460,77,2024-03-08
INV-00419,PROD-0073,STR-004,445,61,2024/09/04
INV-00420,PROD-0074,STR-010,345,52,2024-02-17
INV-00421,PROD-0074,STR-003,116,15,18/02/2024
INV-00422,PROD-0074,STR-002,99,93,09-06-2024
INV-00423,PROD-0074,STR-011,389,57,2024-11-11
INV-00424,PROD-0074,STR-012,119,61,2024-03-18
INV-00425,PROD-0074,STR-006,373,72,2024-02-26
INV-00426,PROD-0074,STR-007,161,84,2024-08-18
INV-00427,PROD-0074,STR-005,184,14,05-12-2024
INV-00428,PROD-0075,STR-010,115,60,2024-06-08
INV-00429,PROD-0075,STR-008,257,95,2024-01-02
INV-00430,PROD-0075,STR-012,214,69,04-08-2024
INV-00431,PROD-0075,STR-002,313,42,2024-12-02
INV-00432,PROD-0075,STR-011,210,22,2024-12-13
INV-00433,PROD-0075,STR-005,401,30,2024-01-09
INV-00434,PROD-0076,STR-008,324,98,2024-01-30
INV-00435,PROD-0076,STR-009,272,61,2024-08-07
INV-00436,PROD-0076,STR-012,92,68,2024-04-02
INV-00437,PROD-0076,STR-011,495,100,2024-10-24
INV-00438,PROD-0076,STR-005,291,79,2024-11-21
INV-00439,PROD-0076,STR-010,359,37,2024-04-24
INV-00440,PROD-0076,STR-007,117,38,2024-02-27
INV-00441,PROD-0077,STR-005,81,51,2024/05/14
INV-00442,PROD-0077,STR-006,311,100,2024-01-11
INV-00443,PROD-0077,STR-007,108,74,2024-10-28
INV-00444,PROD-0077,STR-009,107,25,2024-06-17
INV-00445,PROD-0077,STR-002,345,72,2024/06/13
INV-00446,PROD-0078,STR-002,111,94,2024-10-14
INV-00447,PROD-0078,STR-008,331,48,2024-02-27
INV-00448,PROD-0078,STR-010,423,45,2024-01-07
INV-00449,PROD-0078,STR-009,481,60,2024-04-03
INV-00450,PROD-0078,STR-005,325,63,2024-01-17
INV-00451,PROD-0079,STR-002,171,96,2024-01-19
INV-00452,PROD-0079,STR-007,-39,98,2024-03-31
INV-00453,PROD-0079,STR-008,201,63,2024-08-06
INV-00454,PROD-0080,STR-008,377,25,2024-06-14
INV-00455,PROD-0080,STR-005,125,22,26/01/2024
INV-00456,PROD-0080,STR-010,21,57,2024-01-15
INV-00457,PROD-0080,STR-003,342,86,2024-02-14
INV-00458,PROD-0081,STR-001,217,51,2024-03-20
INV-00459,PROD-0081,STR-011,407,99,2024-06-17
INV-00460,PROD-0081,STR-003,280,87,2024-09-22
INV-00461,PROD-0081,STR-002,168,76,2024-01-25
INV-00462,PROD-0081,STR-007,15,19,2024-03-21
INV-00463,PROD-0081,STR-012,228,59,2024-01-09
INV-00464,PROD-0082,STR-006,8,12,2024-01-09
INV-00465,PROD-0082,STR-012,136,74,2024-09-30
INV-00466,PROD-0082,STR-007,388,66,2024-10-17
INV-00467,PROD-0082,STR-004,260,80,2024-04-17
INV-00468,PROD-0082,STR-005,176,76,2024/08/17
INV-00469,PROD-0082,STR-001,404,57,2024-12-18
INV-00470,PROD-0083,STR-011,340,21,2024-11-23
INV-00471,PROD-0083,STR-010,109,28,2024-06-04
INV-00472,PROD-0083,STR-006,450,87,2024-10-22
INV-00473,PROD-0083,STR-004,347,29,09/07/2024
INV-00474,PROD-0084,STR-003,312,,2024-03-30
INV-00475,PROD-0084,STR-009,373,50,2024-03-16
INV-00476,PROD-0084,STR-007,167,35,2024/12/11
INV-00477,PROD-0084,STR-010,171,90,2024-11-05
INV-00478,PROD-0084,STR-002,262,73,2024-05-24
INV-00479,PROD-0085,STR-003,156,80,2024-02-25
INV-00480,PROD-0085,STR-011,467,27,08/03/2024
