session_id,customer_id,page_url,event_type,event_timestamp,device_type,browser,referrer_source
SESS-000026,CUST-0182,/,click,2024-12-07 13:17:56,desktop,Chrome,direct
SESS-000027,CUST-0252,/account/wishlist,search,2024-03-01 00:03:31,tablet,Safari,bing
SESS-000028,,/checkout,page_view,2024-09-24 05:16:46,desktop,Firefox,bing
SESS-000029,,/checkout,page_view,2024-09-14 13:59:37,mobile,Safari,instagram
SESS-000030,,/account/orders,purchase,2024-11-15 21:00:03,mobile,Chrome,facebook
SESS-000031,CUST-0326,/search,remove_from_cart,2024-08-28 18:41:16,bot,Bingbot,instagram
SESS-000032,CUST-0443,/products,page_view,2024-01-09 13:35:14,desktop,Chrome,tiktok
SESS-000033,CUST-0124,/account/wishlist,add_to_cart,2024-11-21 16:16:14,mobile,Chrome,affiliate
SESS-000034,CUST-0319,/search,video_play,2024-06-11 21:53:36,mobile,Safari,twitter
SESS-000035,,/products/sports,purchase,2024-06-27 01:36:57,desktop,Chrome,instagram
SESS-000036,,/blog,click,2024-09-10 22:40:00,mobile,Safari,
SESS-000037,CUST-0489,/contact,click,2024-08-31 11:25:59,mobile,Chrome,direct
SESS-000038,,/search,search,2024-08-13 13:25:31,desktop,Firefox,affiliate
SESS-000039,CUST-0113,/search,page_view,2024-03-23 08:24:05,tablet,Edge,tiktok
SESS-000040,CUST-0070,/products/sports,remove_from_cart,2024-02-12 11:40:37,mobile,Edge,twitter
SESS-000041,CUST-0288,/,remove_from_cart,2024-10-12 05:02:22,desktop,Chrome,email_campaign
SESS-000042,CUST-0172,/account/wishlist,click,2024-08-21 00:21:37,mobile,Samsung Internet,tiktok
SESS-000043,CUST-0137,/checkout,page_view,2024-11-12 17:29:01,tablet,Chrome,tiktok
SESS-000044,CUST-0114,/account/orders,remove_from_cart,2024-10-19 06:20:33,tablet,Samsung Internet,bing
SESS-000045,,/products,add_to_cart,2024-12-06 08:24:38,desktop,Chrome,direct
SESS-000046,,/products/books,add_to_cart,2024-03-20 21:15:51,mobile,Edge,facebook
SESS-000047,,/about,remove_from_cart,2024-03-26 16:28:27,tablet,Chrome,affiliate
SESS-000048,CUST-0378,/contact,video_play,2024-07-31 12:25:24,mobile,Safari,tiktok
SESS-000049,,/account/orders,page_view,2024-10-03 09:12:40,mobile,Chrome,facebook
SESS-000050,,/account,page_view,2024-07-04 15:35:20,mobile,Chrome,direct
SESS-000051,CUST-0467,/cart,begin_checkout,2024-10-29 20:21:33,tablet,Chrome,twitter
SESS-000052,CUST-0356,/products/electronics,click,2024-12-31 18:16:03,desktop,Chrome,google
SESS-000053,CUST-0437,/checkout,video_play,2024-01-29 11:20:23,tablet,Chrome,tiktok
SESS-000054,CUST-0389,/products,video_play,2024-11-07 20:20:02,tablet,Chrome,twitter
SESS-000055,CUST-0444,/checkout/payment,click,2024-01-21 03:21:06,desktop,Safari,
SESS-000056,CUST-0252,/products/sports,add_to_cart,2024-09-09 09:16:58,desktop,Chrome,bing
SESS-000057,CUST-0158,/products/home,add_to_cart,2024-03-18 04:33:31,desktop,Safari,bing
SESS-000058,,/faq,page_view,2024-06-04 14:08:57,desktop,Firefox,
SESS-000059,,/products/sports,scroll,2024-01-06 22:39:15,desktop,Chrome,tiktok
SESS-000060,,/returns,add_to_cart,2024-11-15 22:34:58,desktop,Chrome,twitter
SESS-000061,,/blog,purchase,2024-03-06 12:02:48,tablet,Chrome,
SESS-000062,CUST-0025,/contact,video_play,2024-07-26 10:42:33,mobile,Safari,google
SESS-000063,CUST-0154,/products/clothing,page_view,2024-09-24 08:52:09,mobile,Edge,facebook
SESS-000064,,/,add_to_cart,2024-03-09 11:57:18,mobile,Safari,instagram
SESS-000065,,/blog,scroll,2024-06-03 16:18:29,tablet,Chrome,instagram
SESS-000066,CUST-0443,/account/orders,search,2024-06-15 08:51:14,tablet,Edge,
SESS-000067,CUST-0226,/search,search,2024-11-01 08:13:43,mobile,Chrome,bing
SESS-000068,,/faq,page_view,2024-01-31 09:49:52,desktop,Safari,tiktok
SESS-000069,,/cart,remove_from_cart,2024-11-23 01:31:53,mobile,Samsung Internet,email_campaign
SESS-000070,CUST-0312,/account,scroll,2024-12-06 14:04:23,desktop,Samsung Internet,direct
SESS-000071,CUST-0175,/products/clothing,click,2024-11-16 08:57:57,desktop,Edge,google
SESS-000072,CUST-0071,/checkout/payment,purchase,2024-11-30 10:20:10,desktop,Samsung Internet,direct
SESS-000073,,/products/books,scroll,2024-04-16 08:40:52,mobile,Samsung Internet,email_campaign
SESS-000074,,/account/orders,click,2024-02-11 03:18:20,desktop,Firefox,bing
SESS-000075,CUST-0111,/products/electronics,purchase,2024-12-29 02:06:06,mobile,Edge,twitter
SESS-000076,CUST-0264,/products/books,purchase,2024-02-24 23:45:55,mobile,Chrome,bing
SESS-000077,CUST-0084,/contact,add_to_cart,2024-04-03 20:30:12,desktop,Safari,
SESS-000078,,/checkout/payment,video_play,2024-12-25 00:05:39,mobile,Edge,
SESS-000079,CUST-0487,/about,begin_checkout,2024-08-02 02:30:41,mobile,Edge,bing
SESS-000080,CUST-0133,/account,begin_checkout,2024-10-07 18:10:25,desktop,Safari,email_campaign
SESS-000081,CUST-0234,/returns,click,2024-12-02 08:54:12,tablet,Safari,email_campaign
SESS-000082,,/products/electronics,page_view,2024-08-21 15:27:27,mobile,Firefox,twitter
SESS-000083,CUST-0421,/products/home,page_view,2024-11-18 05:37:45,desktop,Edge,direct
SESS-000084,CUST-0178,/checkout,page_view,2024-12-15 20:12:42,mobile,Chrome,
SESS-000085,CUST-0049,/products/clothing,page_view,2024-07-30 04:31:38,desktop,Chrome,instagram
SESS-000086,,/products/home,add_to_cart,2024-07-07 11:30:29,desktop,Samsung Internet,twitter
SESS-000087,CUST-0024,/search,click,2024-12-13 15:49:24,tablet,Chrome,direct
SESS-000088,CUST-0197,/cart,begin_checkout,2024-05-06 11:11:18,mobile,Chrome,instagram
SESS-000089,CUST-0089,/checkout/payment,page_view,2024-04-17 05:01:51,desktop,Samsung Internet,direct
SESS-000090,CUST-0303,/products/electronics,video_play,2024-04-02 20:28:03,tablet,Firefox,bing
SESS-000091,CUST-0048,/returns,remove_from_cart,2024-02-08 16:17:14,mobile,Chrome,affiliate
SESS-000092,CUST-0067,/account/orders,video_play,2024-02-23 07:10:56,mobile,Chrome,email_campaign
SESS-000093,,/cart,page_view,2024-03-23 20:18:52,mobile,Firefox,direct
SESS-000094,CUST-0390,/products/electronics,click,2024-08-26 18:24:14,desktop,Safari,tiktok
SESS-000095,CUST-0265,/,add_to_cart,2024-09-14 07:08:12,desktop,Chrome,facebook
SESS-000096,,/returns,click,2024-04-14 06:38:43,mobile,Edge,tiktok
SESS-000097,CUST-0157,/contact,page_view,2024-12-12 19:17:03,tablet,Firefox,instagram
SESS-000098,CUST-0467,/checkout/payment,page_view,2024-06-14 02:51:00,tablet,Chrome,facebook
SESS-000099,CUST-0158,/account/orders,page_view,2024-12-11 11:39:44,mobile,Safari,tiktok
SESS-000100,CUST-0039,/products/home,scroll,2024-02-08 15:57:32,mobile,Safari,bing
SESS-000101,CUST-0241,/products/sports,scroll,2024-04-25 03:32:46,mobile,Safari,google
SESS-000102,,/faq,purchase,2024-06-26 07:24:19,tablet,Safari,affiliate
SESS-000103,CUST-0144,/checkout/confirmation,purchase,2024-04-04 04:49:34,desktop,Safari,
SESS-000104,CUST-0203,/checkout/confirmation,video_play,2024-11-26 17:44:09,mobile,Chrome,bing
SESS-000105,CUST-0141,/blog,page_view,2024-10-04 16:53:05,desktop,Safari,google
SESS-000106,CUST-0134,/account/orders,click,2024-11-25 18:07:47,mobile,Edge,affiliate
SESS-000107,CUST-0093,/products/clothing,click,2024-06-08 22:33:03,desktop,Samsung Internet,affiliate
SESS-000108,,/products/sports,click,2024-04-16 06:28:16,tablet,Samsung Internet,
SESS-000109,CUST-0418,/checkout/confirmation,scroll,2024-02-27 01:45:59,tablet,Safari,affiliate
SESS-000110,,/search,purchase,2024-02-22 01:33:18,mobile,Chrome,facebook
SESS-000111,CUST-0224,/returns,begin_checkout,2024-05-21 17:51:20,desktop,Firefox,bing
SESS-000112,,/checkout/payment,click,2024-06-11 11:03:01,desktop,Chrome,bing
SESS-000113,CUST-0167,/,page_view,2024-02-05 05:55:30,mobile,Firefox,
SESS-000114,CUST-0374,/products,page_view,2024-12-10 06:17:15,mobile,Samsung Internet,twitter
SESS-000115,CUST-0454,/returns,scroll,2024-06-08 13:16:50,mobile,Chrome,tiktok
SESS-000116,CUST-0071,/contact,page_view,2024-07-19 15:16:27,mobile,Chrome,google
SESS-000117,CUST-0438,/cart,purchase,2024-03-16 02:33:35,desktop,Chrome,
SESS-000118,,/contact,begin_checkout,2024-09-13 17:51:30,desktop,Safari,twitter
SESS-000119,CUST-0147,/about,page_view,2024-05-31 00:38:30,desktop,Chrome,affiliate
SESS-000120,CUST-0090,/search,click,2024-07-12 05:06:40,desktop,Chrome,instagram
SESS-000121,,/account/orders,search,2024-09-08 10:08:57,tablet,Firefox,instagram
SESS-000122,,/account,click,2024-02-02 02:12:09,mobile,Samsung Internet,instagram
SESS-000123,CUST-0337,/account,purchase,2024-12-18 06:05:12,desktop,Safari,facebook
SESS-000124,,/products/sports,page_view,2024-07-25 05:18:27,mobile,Chrome,
SESS-000125,,/account/wishlist,remove_from_cart,2024-12-21 11:00:49,mobile,Chrome,instagram
SESS-000126,,/returns,scroll,2024-06-15 03:37:30,desktop,Safari,affiliate
SESS-000127,,/faq,add_to_cart,2024-08-16 20:07:54,mobile,Chrome,tiktok
SESS-000128,,/products/books,search,2024-08-16 18:06:03,tablet,Safari,affiliate
SESS-000129,CUST-0417,/products/sports,click,2024-05-22 20:06:12,desktop,Safari,tiktok
SESS-000130,CUST-0319,/contact,begin_checkout,2024-08-12 15:12:52,desktop,Chrome,affiliate
SESS-000131,,/products/clothing,click,2024-05-14 13:45:22,mobile,Firefox,google
SESS-000132,CUST-0164,/cart,video_play,2024-01-16 17:08:11,mobile,Firefox,direct
SESS-000133,CUST-0335,/products,video_play,2024-01-12 07:43:15,desktop,Chrome,direct
SESS-000134,CUST-0327,/products/books,click,2024-06-13 22:07:03,mobile,Chrome,tiktok
SESS-000135,,/account/wishlist,click,2024-05-29 07:08:10,desktop,Samsung Internet,
SESS-000136,,/account,page_view,2024-08-11 11:16:28,mobile,Edge,twitter
SESS-000137,CUST-0070,/products,remove_from_cart,2024-02-02 11:46:00,mobile,Samsung Internet,affiliate
SESS-000138,CUST-0464,/products/sports,remove_from_cart,2024-06-19 16:17:24,mobile,Chrome,facebook
SESS-000139,CUST-0132,/checkout/confirmation,click,2024-11-14 15:08:50,tablet,Firefox,affiliate
SESS-000140,CUST-0089,/blog,page_view,2024-03-22 03:37:55,desktop,Samsung Internet,
SESS-000141,CUST-0388,/checkout/confirmation,begin_checkout,2024-07-19 09:16:55,mobile,Chrome,facebook
SESS-000142,,/products/home,video_play,2024-03-26 10:10:02,mobile,Firefox,twitter
SESS-000143,CUST-0380,/search,remove_from_cart,2024-01-06 04:48:52,desktop,Chrome,bing
SESS-000144,,/contact,click,2024-08-26 15:33:08,desktop,Edge,twitter
SESS-000145,CUST-0258,/contact,purchase,2024-07-17 02:20:24,mobile,Safari,email_campaign
SESS-000146,CUST-0203,/products/electronics,page_view,2024-07-23 01:19:58,desktop,Firefox,twitter
SESS-000147,CUST-0036,/checkout/confirmation,click,2024-11-16 22:45:51,desktop,Firefox,email_campaign
SESS-000148,,/checkout,remove_from_cart,2024-10-31 00:26:36,mobile,Chrome,instagram
SESS-000149,CUST-0007,/products/books,add_to_cart,2024-02-24 06:45:36,mobile,Samsung Internet,twitter
SESS-000150,CUST-0324,/contact,page_view,2024-12-09 08:39:55,desktop,Samsung Internet,
SESS-000151,CUST-0255,/products/electronics,search,2024-11-19 16:47:05,mobile,Safari,instagram
SESS-000152,,/search,search,2024-02-23 11:53:43,mobile,Safari,instagram
SESS-000153,CUST-0386,/products/home,click,2024-12-15 14:45:24,desktop,Samsung Internet,email_campaign
SESS-000154,,/about,click,2024-06-17 04:41:33,mobile,Chrome,
SESS-000155,CUST-0253,/products/electronics,click,2024-04-24 05:40:37,mobile,Firefox,tiktok
SESS-000156,,/blog,begin_checkout,2024-04-08 20:13:20,tablet,Chrome,
SESS-000157,CUST-0077,/products,page_view,2024-08-23 08:11:44,tablet,Safari,
SESS-000158,CUST-0151,/returns,begin_checkout,2024-05-24 17:30:22,mobile,Chrome,bing
SESS-000159,CUST-0089,/returns,remove_from_cart,2024-01-05 01:52:51,tablet,Safari,instagram
SESS-000160,CUST-0099,/blog,purchase,2024-08-23 00:57:48,mobile,Chrome,direct
SESS-000161,CUST-0063,/products/clothing,click,2024-04-02 16:31:15,tablet,Safari,google
SESS-000162,CUST-0129,/cart,page_view,2024-07-17 04:29:47,desktop,Chrome,direct
SESS-000163,CUST-0009,/returns,scroll,2024-07-31 03:56:57,tablet,Chrome,affiliate
SESS-000164,,/products/sports,search,2024-10-20 05:35:22,desktop,Chrome,facebook
SESS-000165,CUST-0218,/products/sports,scroll,2024-07-10 15:55:02,mobile,Edge,twitter
SESS-000166,,/products/sports,remove_from_cart,2024-02-15 02:01:11,tablet,Chrome,instagram
SESS-000167,CUST-0427,/,scroll,2024-07-25 08:54:02,desktop,Edge,email_campaign
SESS-000168,,/checkout/confirmation,click,2024-05-14 00:55:13,mobile,Safari,google
SESS-000169,,/returns,scroll,2024-10-10 04:47:03,tablet,Safari,tiktok
SESS-000170,CUST-0093,/contact,search,2024-11-15 01:56:21,tablet,Chrome,twitter
SESS-000171,CUST-0165,/products/sports,page_view,2024-01-11 19:42:32,desktop,Samsung Internet,twitter
SESS-000172,CUST-0349,/checkout/payment,search,2024-02-18 03:27:15,mobile,Chrome,facebook
SESS-000173,CUST-0027,/products/home,scroll,2024-05-04 07:46:40,tablet,Safari,affiliate
SESS-000174,CUST-0147,/,add_to_cart,2024-09-02 02:04:57,mobile,Firefox,twitter
SESS-000175,,/products/sports,click,2024-09-01 20:20:10,tablet,Safari,bing
SESS-000176,CUST-0383,/about,video_play,2024-06-08 23:37:14,mobile,Firefox,instagram
SESS-000177,CUST-0158,/search,video_play,2024-01-13 01:31:12,desktop,Chrome,twitter
SESS-000178,CUST-0065,/products/books,scroll,2024-07-06 22:23:00,desktop,Firefox,google
SESS-000179,CUST-0496,/products/books,search,2024-07-07 11:03:59,mobile,Samsung Internet,google
SESS-000180,,/products/books,begin_checkout,2024-02-12 06:06:20,desktop,Samsung Internet,
SESS-000181,CUST-0404,/account/orders,video_play,2024-02-10 17:37:37,bot,Googlebot,bing
SESS-000182,CUST-0210,/checkout/payment,click,2024-08-24 03:52:46,mobile,Chrome,tiktok
SESS-000183,CUST-0384,/products,search,2024-08-14 15:05:06,tablet,Firefox,direct
SESS-000184,CUST-0444,/products/clothing,search,2024-01-18 22:59:46,mobile,Safari,
SESS-000185,CUST-0336,/account/orders,video_play,2024-07-20 15:59:20,mobile,Firefox,google
SESS-000186,CUST-0113,/products,search,2024-08-20 11:35:49,desktop,Samsung Internet,
SESS-000187,,/checkout/confirmation,video_play,2024-04-28 14:51:11,desktop,Firefox,facebook
SESS-000188,CUST-0165,/account,begin_checkout,2024-03-01 07:25:29,desktop,Chrome,affiliate
SESS-000189,CUST-0125,/cart,search,2024-11-08 10:05:51,mobile,Chrome,google
SESS-000190,CUST-0213,/blog,page_view,2024-11-07 14:36:05,mobile,Safari,facebook
SESS-000191,CUST-0345,/about,click,2024-01-06 05:35:56,mobile,Chrome,tiktok
SESS-000192,CUST-0122,/checkout/confirmation,page_view,2024-09-11 23:34:58,tablet,Chrome,facebook
SESS-000193,CUST-0076,/returns,page_view,2024-10-29 12:41:13,mobile,Samsung Internet,direct
SESS-000194,CUST-0010,/search,begin_checkout,2024-02-08 20:38:39,desktop,Chrome,instagram
SESS-000195,CUST-0241,/,video_play,2024-02-25 08:42:32,mobile,Chrome,bing
SESS-000196,CUST-0444,/account,purchase,2024-03-13 07:49:49,mobile,Firefox,affiliate
SESS-000197,CUST-0307,/blog,click,2024-12-29 00:28:54,mobile,Chrome,tiktok
SESS-000198,CUST-0484,/products/home,scroll,2024-03-24 10:37:35,mobile,Chrome,tiktok
SESS-000199,CUST-0059,/checkout,click,2024-02-04 22:14:09,desktop,Safari,instagram
SESS-000200,,/checkout/payment,purchase,2024-10-22 07:25:51,tablet,Edge,tiktok
SESS-000201,CUST-0209,/about,remove_from_cart,2024-04-06 21:21:57,tablet,Chrome,email_campaign
SESS-000202,CUST-0133,/products/clothing,video_play,2024-03-01 17:03:50,tablet,Chrome,facebook
SESS-000203,CUST-0381,/products/clothing,add_to_cart,2024-08-10 10:05:27,tablet,Edge,bing
SESS-000204,CUST-0324,/checkout,remove_from_cart,2024-04-06 17:04:56,desktop,Samsung Internet,bing
SESS-000205,CUST-0211,/checkout,purchase,2024-12-30 01:00:10,bot,Python-urllib,email_campaign
SESS-000206,CUST-0193,/search,page_view,2024-09-08 16:32:32,desktop,Chrome,facebook
SESS-000207,CUST-0098,/faq,purchase,2024-03-03 04:44:04,desktop,Chrome,google
SESS-000208,,/search,begin_checkout,1970-01-01 00:00:00,mobile,Firefox,
SESS-000209,CUST-0341,/account/orders,click,2024-04-06 02:28:43,mobile,Edge,
SESS-000210,,/faq,click,2024-01-12 22:16:54,mobile,Safari,bing
SESS-000211,CUST-0034,/checkout,page_view,2024-10-23 10:10:38,desktop,Chrome,
SESS-000212,CUST-0143,/about,page_view,2024-10-20 10:38:02,tablet,Chrome,twitter
SESS-000213,,/checkout/confirmation,scroll,2024-09-15 16:39:08,tablet,Safari,
SESS-000214,CUST-0440,/products/home,purchase,2024-10-18 07:52:09,mobile,Edge,
SESS-000215,CUST-0334,/products/clothing,page_view,2024-12-24 00:36:05,mobile,Chrome,bing
SESS-000216,CUST-0412,/products/electronics,remove_from_cart,2024-12-26 00:19:50,tablet,Samsung Internet,tiktok
SESS-000217,CUST-0479,/checkout/confirmation,scroll,2024-09-16 17:56:53,mobile,Chrome,tiktok
SESS-000218,CUST-0034,/contact,page_view,2024-05-08 03:37:11,desktop,Edge,bing
SESS-000219,,/blog,video_play,2024-03-29 05:02:59,desktop,Chrome,twitter
SESS-000220,CUST-0164,/checkout/confirmation,search,2024-08-12 09:55:05,mobile,Edge,tiktok
SESS-000221,,/cart,page_view,2024-12-17 19:30:59,mobile,Firefox,
SESS-000222,CUST-0053,/products,purchase,2024-02-01 15:55:20,tablet,Firefox,facebook
SESS-000223,CUST-0104,/contact,video_play,2024-08-12 13:53:36,mobile,Chrome,bing
SESS-000224,CUST-0432,/checkout,video_play,2024-01-25 07:37:27,tablet,Chrome,twitter
SESS-000225,CUST-0302,/products/books,page_view,2024-08-08 02:06:37,mobile,Chrome,bing
SESS-000226,CUST-0005,/products/books,click,2024-02-19 09:26:45,desktop,Firefox,facebook
SESS-000227,,/search,page_view,2024-07-29 15:35:15,desktop,Samsung Internet,twitter
SESS-000228,CUST-0298,/returns,add_to_cart,2024-07-28 21:15:53,mobile,Edge,instagram
SESS-000229,CUST-0020,/checkout/confirmation,purchase,2024-12-10 10:36:24,desktop,Samsung Internet,twitter
SESS-000230,CUST-0149,/blog,remove_from_cart,2024-10-22 21:14:51,mobile,Edge,bing
SESS-000231,CUST-0236,/contact,scroll,2024-07-14 14:15:04,mobile,Safari,direct
SESS-000232,CUST-0416,/about,page_view,2024-10-11 21:13:18,mobile,Edge,affiliate
SESS-000233,,/about,search,2024-11-19 06:56:12,desktop,Firefox,facebook
SESS-000234,CUST-0430,/checkout,remove_from_cart,2024-07-09 01:13:30,mobile,Firefox,tiktok
SESS-000235,CUST-0245,/checkout/confirmation,page_view,2024-09-19 02:41:53,tablet,Samsung Internet,twitter
SESS-000236,,/account/orders,click,2024-03-19 17:19:35,tablet,Chrome,facebook
SESS-000237,CUST-0447,/blog,page_view,2024-09-06 05:51:38,desktop,Safari,email_campaign
SESS-000238,CUST-0049,/checkout,video_play,2024-12-20 19:13:17,mobile,Chrome,
SESS-000239,CUST-0097,/products/electronics,search,2030-04-07 12:00:00,tablet,Chrome,google
SESS-000240,CUST-0013,/account/wishlist,remove_from_cart,2024-07-30 12:15:50,tablet,Chrome,
SESS-000241,,/products/home,page_view,2024-03-10 01:43:23,mobile,Edge,instagram
SESS-000242,CUST-0185,/products,click,2024-09-01 18:54:29,mobile,Chrome,tiktok
SESS-000243,CUST-0068,/account/wishlist,video_play,2024-04-17 21:30:26,mobile,Samsung Internet,google
SESS-000244,CUST-0042,/checkout/confirmation,video_play,2024-06-29 06:11:36,desktop,Safari,bing
SESS-000245,CUST-0235,/products,add_to_cart,2024-11-07 18:46:50,desktop,Edge,google
SESS-000246,CUST-0450,/account,video_play,2024-08-09 22:09:05,mobile,Safari,bing
SESS-000247,,/contact,remove_from_cart,1970-01-01 00:00:00,mobile,Chrome,google
SESS-000248,CUST-0245,/products/sports,click,2024-09-26 09:40:09,mobile,Firefox,
SESS-000249,CUST-0251,/products/clothing,add_to_cart,2024-03-06 06:55:59,mobile,Chrome,twitter
SESS-000250,CUST-0151,/products/clothing,page_view,2024-06-26 07:12:13,desktop,Chrome,tiktok
SESS-000251,CUST-0195,/products,search,2024-05-24 17:45:51,mobile,Chrome,
SESS-000252,,/products,click,2024-05-29 00:09:16,desktop,Chrome,instagram
SESS-000253,CUST-0199,/checkout,click,2024-08-10 17:37:29,tablet,Samsung Internet,twitter
SESS-000254,CUST-0393,/account/wishlist,page_view,2024-10-02 18:39:57,tablet,Safari,tiktok
SESS-000255,,/checkout,video_play,2024-05-26 02:27:20,mobile,Edge,
SESS-000256,,/products/books,page_view,2024-04-09 13:23:40,mobile,Samsung Internet,bing
SESS-000257,CUST-0145,/search,scroll,2024-12-23 08:42:49,desktop,Safari,bing
SESS-000258,CUST-0368,/checkout,video_play,2024-07-21 04:10:45,mobile,Edge,affiliate
SESS-000259,CUST-0110,/account/orders,page_view,2024-12-28 09:06:16,mobile,Chrome,instagram
SESS-000260,CUST-0484,/products/books,click,2024-06-16 23:49:11,mobile,Firefox,facebook
SESS-000261,CUST-0319,/,video_play,2024-02-28 10:14:54,desktop,Safari,twitter
SESS-000262,CUST-0294,/checkout/payment,page_view,2024-01-03 03:25:55,tablet,Safari,affiliate
SESS-000263,CUST-0328,/account,video_play,2024-05-21 16:13:53,mobile,Chrome,instagram
SESS-000264,CUST-0069,/account,begin_checkout,2024-09-12 05:55:06,desktop,Edge,google
SESS-000265,,/cart,purchase,2024-07-01 12:13:35,mobile,Firefox,
SESS-000266,,/,remove_from_cart,2024-08-29 13:14:59,desktop,Firefox,bing
SESS-000267,CUST-0238,/cart,click,2024-11-20 20:57:24,mobile,Firefox,email_campaign
SESS-000268,,/products/clothing,click,2024-11-26 02:11:56,desktop,Chrome,facebook
SESS-000269,CUST-0326,/,add_to_cart,2024-11-27 16:21:32,mobile,Chrome,
SESS-000270,CUST-0166,/account/wishlist,scroll,2024-10-16 16:44:17,mobile,Safari,direct
SESS-000271,,/returns,add_to_cart,2024-10-27 11:40:01,tablet,Safari,affiliate
SESS-000272,,/blog,search,2024-05-04 22:02:51,mobile,Chrome,instagram
SESS-000273,,/about,scroll,2024-01-12 06:56:02,mobile,Edge,twitter
SESS-000274,CUST-0102,/checkout/payment,add_to_cart,2024-04-06 15:08:53,tablet,Samsung Internet,
SESS-000275,CUST-0185,/returns,begin_checkout,2024-04-06 15:20:50,tablet,Chrome,
SESS-000276,,/account/orders,purchase,2024-11-21 14:09:02,tablet,Chrome,instagram
SESS-000277,CUST-0127,/search,page_view,2024-06-25 22:56:07,desktop,Firefox,affiliate
SESS-000278,CUST-0260,/products/home,page_view,2024-11-17 02:07:08,tablet,Chrome,bing
SESS-000279,CUST-0253,/search,begin_checkout,2024-09-09 06:56:56,tablet,Chrome,bing
SESS-000280,,/cart,purchase,2024-02-10 02:35:11,desktop,Safari,google
SESS-000281,CUST-0467,/faq,page_view,2024-05-07 20:27:52,mobile,Safari,affiliate
SESS-000282,CUST-0093,/search,video_play,2024-07-09 12:06:41,desktop,Firefox,bing
SESS-000283,CUST-0170,/search,page_view,2024-01-25 13:42:35,tablet,Chrome,google
SESS-000284,CUST-0478,/products/clothing,click,2024-05-04 14:25:06,desktop,Safari,affiliate
SESS-000285,CUST-0025,/products/clothing,purchase,2024-06-04 14:23:04,tablet,Safari,
SESS-000286,CUST-0253,/about,add_to_cart,2024-05-28 05:55:08,mobile,Safari,tiktok
SESS-000287,,/account/wishlist,click,2024-04-09 09:26:28,mobile,Chrome,tiktok
SESS-000288,,/contact,begin_checkout,2024-06-01 00:58:06,mobile,Safari,instagram
SESS-000289,,/products/clothing,page_view,2024-05-12 19:22:21,desktop,Safari,direct
SESS-000290,CUST-0208,/checkout,scroll,2024-01-23 13:30:29,mobile,Samsung Internet,direct
SESS-000291,CUST-0173,/,begin_checkout,2024-05-05 18:42:24,tablet,Firefox,
SESS-000292,CUST-0288,/products/electronics,click,2024-10-01 16:23:17,desktop,Chrome,instagram
SESS-000293,,/cart,scroll,2024-04-18 15:41:56,desktop,Chrome,instagram
SESS-000294,CUST-0050,/account/wishlist,page_view,2024-05-30 15:49:01,desktop,Chrome,twitter
SESS-000295,CUST-0174,/products/home,add_to_cart,2024-03-18 10:44:20,mobile,Chrome,google
SESS-000296,CUST-0434,/checkout/payment,begin_checkout,2024-07-05 06:16:43,tablet,Edge,
