order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI-000081,ORD-00467,PROD-0035,1,98.11,5
OI-000082,ORD-00467,PROD-0012,2,322.13,0
OI-000083,ORD-01076,PROD-0076,2,48.97,0
OI-000084,ORD-00352,PROD-0097,1,134.16,20
OI-000085,ORD-00352,PROD-0108,2,275.49,5
OI-000086,ORD-00352,PROD-0081,1,196.53,0
OI-000087,ORD-00352,PROD-0112,1,149.85,25
OI-000088,ORD-02841,PROD-0116,2,240.26,0
OI-000089,ORD-02841,PROD-0148,1,178.67,0
OI-000090,ORD-00157,PROD-0067,10,233.44,0
OI-000091,ORD-00157,PROD-0124,2,16.17,15
OI-000092,ORD-01677,PROD-0046,10,177.91,0
OI-000093,ORD-00319,PROD-0057,2,42.48,25
OI-000094,ORD-00319,PROD-0031,1,780.49,0
OI-000095,ORD-00319,PROD-0002,1,110.94,0
OI-000096,ORD-00319,PROD-0030,1,389.83,0
OI-000097,ORD-00319,PROD-0149,2,42.76,15
OI-000098,ORD-01156,PROD-0012,2,280.16,20
OI-000099,ORD-01156,PROD-0063,3,107.81,0
OI-000100,ORD-01156,PROD-0138,1,189.04,15
OI-000101,ORD-02946,PROD-0008,2,239.71,0
OI-000102,ORD-02946,PROD-0072,3,177.7,30
OI-000103,ORD-02946,PROD-0021,2,179.7,20
OI-000104,ORD-01099,PROD-0098,1,33.02,0
OI-000105,ORD-01757,PROD-0126,3,17.9,0
OI-000106,ORD-00326,PROD-0135,1,22.53,0
OI-000107,ORD-00326,PROD-0093,4,159.31,10
OI-000108,ORD-00233,PROD-0054,2,35.03,5
OI-000109,ORD-00233,PROD-0148,3,182.04,15
OI-000110,ORD-00441,PROD-0007,1,302.25,15
OI-000111,ORD-01209,PROD-0070,5,353.44,0
OI-000112,ORD-01209,PROD-0094,3,65.92,25
OI-000113,ORD-00300,PROD-0081,1,170.35,0
OI-000114,ORD-00700,PROD-0095,1,83.4,15
OI-000115,ORD-00700,PROD-0103,5,505.51,0
OI-000116,ORD-01198,PROD-0144,0,11.05,20
OI-000117,ORD-01198,PROD-0112,1,164.98,0
OI-000118,ORD-02373,PROD-0133,1,583.96,0
OI-000119,ORD-01100,PROD-0037,1,496.26,0
OI-000120,ORD-00201,PROD-0138,1,190.65,0
OI-000121,ORD-00201,PROD-0098,3,32.73,25
OI-000122,ORD-01463,PROD-0023,1,15.25,5
OI-000123,ORD-02061,PROD-0006,4,29.3,15
OI-000124,ORD-02061,PROD-0091,1,447.69,0
OI-000125,ORD-02061,PROD-0092,1,35.72,0
OI-000126,ORD-00781,PROD-0117,2,41.28,25
OI-000127,ORD-00781,PROD-0052,2,14.04,5
OI-000128,ORD-01716,PROD-0111,10,397.42,15
OI-000129,ORD-01716,PROD-0091,2,456.4,0
OI-000130,ORD-01716,PROD-0037,1,517.02,5
OI-000131,ORD-01716,PROD-0029,3,30.97,0
OI-000132,ORD-01716,PROD-0121,1,7.47,0
OI-000133,ORD-00444,PROD-0111,2,334.4,25
OI-000134,ORD-00444,PROD-0145,2,155.16,0
OI-000135,ORD-00444,PROD-0127,3,764.5,10
OI-000136,ORD-00444,PROD-0033,3,159.38,0
OI-000137,ORD-02423,PROD-0094,2,73.4,20
OI-000138,ORD-01602,PROD-0070,1,303.58,0
OI-000139,ORD-02334,PROD-0055,10,27.39,0
OI-000140,ORD-02191,PROD-0138,1,175.44,5
OI-000141,ORD-01858,PROD-0135,3,20.58,0
OI-000142,ORD-01858,PROD-0077,1,36.75,0
OI-000143,ORD-01858,PROD-0055,2,25.55,0
OI-000144,ORD-01858,PROD-0145,2,131.21,0
OI-000145,ORD-01242,PROD-0004,1,256.93,0
OI-000146,ORD-01242,PROD-0034,3,67.56,0
OI-000147,ORD-01242,PROD-0113,1,70.93,0
OI-000148,ORD-00429,PROD-0028,1,267.83,0
OI-000149,ORD-02231,PROD-0149,1,49.83,0
OI-000150,ORD-00015,PROD-0036,5,992.25,0
OI-000151,ORD-00015,PROD-0057,2,45.01,0
OI-000152,ORD-00244,PROD-0085,2,65.82,0
OI-000153,ORD-00244,PROD-0145,1,151.72,15
OI-000154,ORD-01622,PROD-0029,1,32.02,0
OI-000155,ORD-01622,PROD-0023,5,15.24,10
OI-000156,ORD-01622,PROD-0046,1,161.08,5
OI-000157,ORD-01622,PROD-0012,1,283.09,0
OI-000158,ORD-01942,PROD-0054,3,37.97,10
OI-000159,ORD-02978,PROD-0002,2,104.05,20
OI-000160,ORD-01710,PROD-0082,1,17.14,0
OI-000161,ORD-02558,PROD-0124,1,15.75,0
OI-000162,ORD-02558,PROD-0012,2,307.77,0
OI-000163,ORD-02199,PROD-0109,2,110.28,0
OI-000164,ORD-00354,PROD-0043,2,160.84,0
OI-000165,ORD-00354,PROD-0056,1,164.86,0
OI-000166,ORD-01022,PROD-0136,1,657.65,0
OI-000167,ORD-01022,PROD-0031,1,753.84,30
OI-000168,ORD-01022,PROD-0094,1,78.53,0
OI-000169,ORD-00047,PROD-0093,4,177.36,0
OI-000170,ORD-01276,PROD-0059,2,145.0,0
OI-000171,ORD-01276,PROD-0133,1,520.51,0
OI-000172,ORD-00281,PROD-0068,1,27.33,0
OI-000173,ORD-00597,PROD-0125,1,182.58,0
OI-000174,ORD-00597,PROD-0048,2,89.92,0
OI-000175,ORD-02889,PROD-0032,1,437.52,10
OI-000176,ORD-00645,PROD-0040,1,38.38,10
OI-000177,ORD-00645,PROD-0079,2,42.82,0
OI-000178,ORD-00645,PROD-0085,1,62.52,0
OI-000179,ORD-00645,PROD-0076,3,50.07,0
OI-000180,ORD-00645,PROD-0080,1,363.76,5
OI-000181,ORD-01417,PROD-0002,2,107.61,0
OI-000182,ORD-01343,PROD-0005,2,22.61,10
OI-000183,ORD-01343,PROD-0048,1,95.36,0
OI-000184,ORD-01343,PROD-0115,2,213.62,25
OI-000185,ORD-01343,PROD-0139,3,117.64,25
OI-000186,ORD-01781,PROD-0062,1,263.79,0
OI-000187,ORD-00774,PROD-0077,2,37.05,0
OI-000188,ORD-00998,PROD-0141,1,30.73,0
OI-000189,ORD-00998,PROD-0044,1,414.8,0
OI-000190,ORD-00878,PROD-0093,1,171.75,0
OI-000191,ORD-02688,PROD-0013,3,43.14,5
OI-000192,ORD-00558,PROD-0032,1,429.08,0
OI-000193,ORD-00558,PROD-0053,1,52.66,0
OI-000194,ORD-02076,PROD-0280,1,23.19,0
OI-000195,ORD-02076,PROD-0040,1,39.38,0
OI-000196,ORD-02482,PROD-0056,2,139.6,0
OI-000197,ORD-02482,PROD-0047,1,495.56,0
OI-000198,ORD-02482,PROD-0090,2,47.01,0
OI-000199,ORD-02204,PROD-0148,2,188.38,5
OI-000200,ORD-02204,PROD-0021,5,158.46,25
OI-000201,ORD-01527,PROD-0080,2,350.87,15
OI-000202,ORD-01527,PROD-0096,4,20.29,0
OI-000203,ORD-01527,PROD-0015,4,282.29,0
OI-000204,ORD-02928,PROD-0066,1,95.25,10
OI-000205,ORD-02928,PROD-0140,5,189.46,0
OI-000206,ORD-02928,PROD-0043,1,146.25,0
OI-000207,ORD-02928,PROD-0046,1,155.87,5
OI-000208,ORD-02928,PROD-0116,1,262.61,0
OI-000209,ORD-00165,PROD-0120,2,807.12,25
OI-000210,ORD-02590,PROD-0007,1,320.42,0
OI-000211,ORD-02386,PROD-0138,1,188.88,0
OI-000212,ORD-02386,PROD-0102,4,540.46,0
OI-000213,ORD-01714,PROD-0077,1,43.87,0
OI-000214,ORD-00962,PROD-0004,1,259.52,0
OI-000215,ORD-00709,PROD-0083,0,160.12,0
OI-000216,ORD-00709,PROD-0126,1,17.07,0
OI-000217,ORD-00229,PROD-0144,2,9.66,0
OI-000218,ORD-00229,PROD-0011,1,5.49,-20
OI-000219,ORD-02337,PROD-0117,2,40.64,10
OI-000220,ORD-02337,PROD-0031,3,741.73,0
OI-000221,ORD-02337,PROD-0017,3,18.08,0
OI-000222,ORD-02337,PROD-0011,1,5.17,0
OI-000223,ORD-00311,PROD-0070,3,306.39,0
OI-000224,ORD-00311,PROD-0139,1,124.56,0
OI-000225,ORD-01395,PROD-0023,1,17.59,15
OI-000226,ORD-01395,PROD-0007,1,338.98,25
OI-000227,ORD-01259,PROD-0016,4,968.51,15
OI-000228,ORD-01259,PROD-0105,1,211.79,0
OI-000229,ORD-00448,PROD-0145,1,140.95,0
OI-000230,ORD-00448,PROD-0079,1,42.2,25
OI-000231,ORD-00448,PROD-0040,2,40.23,30
OI-000232,ORD-00448,PROD-0130,4,81.03,0
OI-000233,ORD-00808,PROD-0091,2,432.85,0
OI-000234,ORD-02049,PROD-0129,1,108.81,5
OI-000235,ORD-02049,PROD-0087,2,217.32,0
OI-000236,ORD-02585,PROD-0063,2,102.98,10
OI-000237,ORD-02057,PROD-0137,1,153.49,0
OI-000238,ORD-00715,PROD-0089,1,264.08,10
OI-000239,ORD-00715,PROD-0043,3,153.91,30
OI-000240,ORD-00715,PROD-0080,4,381.5,0
OI-000241,ORD-02876,PROD-0016,1,854.22,0
OI-000242,ORD-02876,PROD-0088,1,46.67,0
OI-000243,ORD-02308,PROD-0056,1,148.23,0
OI-000244,ORD-02308,PROD-0079,1,46.02,0
OI-000245,ORD-01431,PROD-0068,1,26.74,0
OI-000246,ORD-02546,PROD-0077,1,38.78,0
OI-000247,ORD-02768,PROD-0029,1,29.98,0
OI-000248,ORD-02354,PROD-0074,1,117.69,0
OI-000249,ORD-02354,PROD-0083,1,172.19,20
OI-000250,ORD-02354,PROD-0031,1,714.3,0
OI-000251,ORD-02354,PROD-0020,3,381.22,20
OI-000252,ORD-01660,PROD-0087,5,214.39,0
OI-000253,ORD-01660,PROD-0007,2,310.62,30
OI-000254,ORD-01035,PROD-0099,5,909.08,30
OI-000255,ORD-00139,PROD-0004,1,258.61,0
OI-000256,ORD-00139,PROD-0106,1,28.16,0
OI-000257,ORD-00139,PROD-0017,2,20.02,5
OI-000258,ORD-00139,PROD-0020,3,365.71,0
OI-000259,ORD-00905,PROD-0036,2,897.59,0
OI-000260,ORD-00905,PROD-0124,1,17.09,0
OI-000261,ORD-00905,PROD-0059,2,140.72,0
OI-000262,ORD-00905,PROD-0141,1,32.76,5
OI-000263,ORD-02882,PROD-0116,2,230.87,0
OI-000264,ORD-02882,PROD-0070,1,344.14,0
OI-000265,ORD-00152,PROD-0109,1,113.25,0
OI-000266,ORD-00225,PROD-0070,1,332.69,0
OI-000267,ORD-00225,PROD-0129,1,96.5,0
OI-000268,ORD-00225,PROD-0137,3,153.14,0
OI-000269,ORD-00020,PROD-0056,2,156.04,0
OI-000270,ORD-00020,PROD-0059,2,145.79,15
OI-000271,ORD-02601,PROD-0142,2,176.15,0
OI-000272,ORD-02601,PROD-0055,1,29.49,0
OI-000273,ORD-02601,PROD-0021,3,150.15,0
OI-000274,ORD-02601,PROD-0098,1,36.06,0
OI-000275,ORD-00040,PROD-0150,1,361.27,5
OI-000276,ORD-02078,PROD-0041,3,40.1,0
OI-000277,ORD-02078,PROD-0010,3,27.37,5
OI-000278,ORD-02159,PROD-0058,1,49.43,10
OI-000279,ORD-02159,PROD-0040,1,46.08,25
OI-000280,ORD-02159,PROD-0108,1,263.95,0
OI-000281,ORD-02991,PROD-0041,3,41.43,0
OI-000282,ORD-00012,PROD-0110,1,223.16,0
OI-000283,ORD-00012,PROD-0145,2,150.45,5
OI-000284,ORD-01652,PROD-0486,1,108.48,0
OI-000285,ORD-00024,PROD-0082,1,15.52,10
OI-000286,ORD-00024,PROD-0124,1,15.56,0
OI-000287,ORD-02407,PROD-0043,1,157.32,0
OI-000288,ORD-02921,PROD-0020,1,400.98,0
OI-000289,ORD-01719,PROD-0090,10,40.45,0
OI-000290,ORD-02137,PROD-0017,1,19.47,0
OI-000291,ORD-02813,PROD-0060,1,54.47,0
OI-000292,ORD-02813,PROD-0111,1,327.09,5
OI-000293,ORD-02813,PROD-0142,2,167.14,0
OI-000294,ORD-02813,PROD-0125,2,196.29,25
OI-000295,ORD-02813,PROD-0107,1,453.7,0
OI-000296,ORD-02158,PROD-0065,4,23.1,15
OI-000297,ORD-02158,PROD-0029,1,30.66,0
OI-000298,ORD-01581,PROD-0138,2,173.85,0
OI-000299,ORD-00025,PROD-0018,1,304.24,10
OI-000300,ORD-00025,PROD-0097,1,143.89,0
OI-000301,ORD-00025,PROD-0028,1,300.26,0
OI-000302,ORD-00025,PROD-0041,1,44.2,25
OI-000303,ORD-00211,PROD-0035,1,97.62,0
OI-000304,ORD-00913,PROD-0146,1,581.51,0
OI-000305,ORD-00913,PROD-0093,2,166.4,0
OI-000306,ORD-02096,PROD-0144,2,11.04,15
OI-000307,ORD-02223,PROD-0092,5,38.53,5
OI-000308,ORD-02223,PROD-0150,1,322.46,30
OI-000309,ORD-02223,PROD-0083,1,151.59,0
OI-000310,ORD-02223,PROD-0040,10,44.34,0
OI-000311,ORD-02223,PROD-0127,4,838.96,0
OI-000312,ORD-01486,PROD-0032,4,445.6,0
OI-000313,ORD-01486,PROD-0059,1,154.85,0
OI-000314,ORD-02239,PROD-0008,1,251.38,0
OI-000315,ORD-01992,PROD-0062,1,222.84,0
OI-000316,ORD-01993,PROD-0125,2,207.16,0
OI-000317,ORD-00852,PROD-0046,1,154.09,0
OI-000318,ORD-01495,PROD-0144,3,11.53,0
OI-000319,ORD-01495,PROD-0014,1,15.44,0
OI-000320,ORD-01495,PROD-0029,2,30.87,0
OI-000321,ORD-01495,PROD-0150,4,333.8,0
OI-000322,ORD-01618,PROD-0004,1,244.55,5
OI-000323,ORD-01098,PROD-0086,1,85.7,20
OI-000324,ORD-01098,PROD-0096,1,19.8,0
OI-000325,ORD-01098,PROD-0146,1,599.32,15
OI-000326,ORD-01098,PROD-0125,2,202.6,15
OI-000327,ORD-02415,PROD-0022,2,136.11,0
OI-000328,ORD-02415,PROD-0053,1,52.85,0
OI-000329,ORD-02415,PROD-0021,1,147.39,0
OI-000330,ORD-02415,PROD-0003,1,75.79,10
OI-000331,ORD-02415,PROD-0109,1,114.87,15
OI-000332,ORD-01758,PROD-0002,1,105.0,0
OI-000333,ORD-01250,PROD-0091,1,473.31,0
OI-000334,ORD-01250,PROD-0017,1,16.55,30
OI-000335,ORD-01049,PROD-0053,1,46.3,0
OI-000336,ORD-01049,PROD-0098,1,30.82,10
OI-000337,ORD-01049,PROD-0021,1,171.88,0
OI-000338,ORD-01049,PROD-0001,2,33.63,10
OI-000339,ORD-02632,PROD-0036,2,858.24,5
OI-000340,ORD-02632,PROD-0027,1,442.75,0
OI-000341,ORD-00701,PROD-0054,2,36.69,0
OI-000342,ORD-00701,PROD-0123,1,45.42,0
OI-000343,ORD-00533,PROD-0003,1,69.12,0
OI-000344,ORD-00533,PROD-0072,10,169.79,0
OI-000345,ORD-00187,PROD-0028,2,271.91,0
OI-000346,ORD-00187,PROD-0085,1,62.97,0
OI-000347,ORD-01756,PROD-0014,1,15.55,0
OI-000348,ORD-01756,PROD-0102,1,586.7,0
OI-000349,ORD-01756,PROD-0092,1,40.23,0
OI-000350,ORD-00451,PROD-0237,1,98.62,0
OI-000351,ORD-02375,PROD-0091,1,428.7,20
OI-000352,ORD-00239,PROD-0100,1,26.58,0
OI-000353,ORD-02569,PROD-0034,2,62.74,10
OI-000354,ORD-02569,PROD-0066,2,91.99,15
OI-000355,ORD-01824,PROD-0061,4,131.44,5
OI-000356,ORD-01478,PROD-0009,2,158.55,0
OI-000357,ORD-01478,PROD-0114,2,190.7,5
OI-000358,ORD-01478,PROD-0094,5,75.16,0
OI-000359,ORD-00567,PROD-0023,1,16.34,0
OI-000360,ORD-02614,PROD-0136,1,783.13,0
OI-000361,ORD-02614,PROD-0058,4,49.33,0
OI-000362,ORD-00568,PROD-0148,2,180.32,30
OI-000363,ORD-01661,PROD-0114,1,202.64,30
OI-000364,ORD-01661,PROD-0001,1,32.39,0
OI-000365,ORD-01661,PROD-0126,3,18.26,0
OI-000366,ORD-01661,PROD-0067,1,241.13,0
OI-000367,ORD-01984,PROD-0088,1,50.02,0
OI-000368,ORD-01984,PROD-0013,3,45.64,0
OI-000369,ORD-00199,PROD-0025,1,166.64,15
OI-000370,ORD-01455,PROD-0131,4,58.0,0
OI-000371,ORD-02060,PROD-0099,1,916.48,10
OI-000372,ORD-02060,PROD-0149,2,51.54,0
OI-000373,ORD-02060,PROD-0066,1,96.21,5
OI-000374,ORD-00114,PROD-0147,1,19.7,0
OI-000375,ORD-01502,PROD-0082,5,14.64,0
OI-000376,ORD-02376,PROD-0033,5,138.87,10
OI-000377,ORD-02376,PROD-0027,1,456.36,0
OI-000378,ORD-02376,PROD-0004,2,257.95,0
OI-000379,ORD-02376,PROD-0010,2,29.34,0
OI-000380,ORD-02376,PROD-0108,10,253.17,30
OI-000381,ORD-02731,PROD-0148,5,193.39,20
OI-000382,ORD-02975,PROD-0055,2,27.11,0
OI-000383,ORD-02975,PROD-0050,1,43.87,0
OI-000384,ORD-02975,PROD-0053,2,51.21,10
OI-000385,ORD-01967,PROD-0043,4,157.13,0
OI-000386,ORD-01967,PROD-0057,1,41.74,0
OI-000387,ORD-01967,PROD-0115,1,205.81,0
OI-000388,ORD-00186,PROD-0142,2,173.28,0
OI-000389,ORD-00186,PROD-0114,1,183.62,0
OI-000390,ORD-00186,PROD-0004,1,250.87,0
OI-000391,ORD-00186,PROD-0044,1,396.98,0
OI-000392,ORD-02235,PROD-0049,4,269.96,0
OI-000393,ORD-02235,PROD-0080,1,391.52,0
OI-000394,ORD-02235,PROD-0077,2,40.54,0
OI-000395,ORD-00725,PROD-0147,5,19.15,0
OI-000396,ORD-00135,PROD-0081,2,171.04,0
OI-000397,ORD-00135,PROD-0118,1,195.57,0
OI-000398,ORD-00135,PROD-0137,1,145.67,10
OI-000399,ORD-00135,PROD-0058,1,44.55,10
OI-000400,ORD-01295,PROD-0077,2,39.39,5
OI-000401,ORD-01295,PROD-0148,1,198.25,0
OI-000402,ORD-01295,PROD-0014,1,16.55,0
OI-000403,ORD-01295,PROD-0035,1,81.61,5
OI-000404,ORD-01295,PROD-0038,1,290.15,10
OI-000405,ORD-02042,PROD-0131,4,62.26,25
OI-000406,ORD-00666,PROD-0056,2,160.66,0
OI-000407,ORD-00666,PROD-0114,3,198.99,0
OI-000408,ORD-02605,PROD-0040,1,40.47,10
OI-000409,ORD-00976,PROD-0058,1,43.97,25
OI-000410,ORD-00255,PROD-0149,1,51.41,0
OI-000411,ORD-01117,PROD-0043,1,174.62,20
OI-000412,ORD-02037,PROD-0060,1,53.46,20
OI-000413,ORD-02037,PROD-0049,1,258.38,0
OI-000414,ORD-02037,PROD-0140,5,169.99,15
OI-000415,ORD-00056,PROD-0024,1,76.46,0
OI-000416,ORD-00056,PROD-0105,4,204.42,5
OI-000417,ORD-00056,PROD-0135,3,20.16,0
OI-000418,ORD-01413,PROD-0134,2,30.94,0
OI-000419,ORD-01168,PROD-0102,1,553.81,0
OI-000420,ORD-01893,PROD-0039,2,510.95,10
OI-000421,ORD-01697,PROD-0073,3,198.44,0
OI-000422,ORD-01697,PROD-0062,1,231.65,30
OI-000423,ORD-00351,PROD-0026,1,13.54,0
OI-000424,ORD-00351,PROD-0071,1,420.3,10
OI-000425,ORD-00351,PROD-0097,1,131.72,10
OI-000426,ORD-00351,PROD-0359,2,90.68,0
OI-000427,ORD-02827,PROD-0100,4,28.03,5
OI-000428,ORD-02827,PROD-0086,1,94.81,20
OI-000429,ORD-01408,PROD-0080,1,365.56,5
OI-000430,ORD-01408,PROD-0121,4,7.82,20
OI-000431,ORD-01408,PROD-0046,4,177.72,10
OI-000432,ORD-01408,PROD-0066,3,84.52,0
OI-000433,ORD-00473,PROD-0133,1,595.84,0
OI-000434,ORD-00473,PROD-0008,3,223.56,0
OI-000435,ORD-00458,PROD-0032,1,445.93,10
OI-000436,ORD-01631,PROD-0145,4,146.91,0
OI-000437,ORD-01631,PROD-0002,3,122.13,20
OI-000438,ORD-01631,PROD-0047,1,503.27,0
OI-000439,ORD-01835,PROD-0001,1,31.06,0
OI-000440,ORD-01835,PROD-0084,3,398.85,10
OI-000441,ORD-01516,PROD-0076,1,52.74,10
OI-000442,ORD-01516,PROD-0044,1,408.64,10
OI-000443,ORD-01516,PROD-0073,1,225.43,30
OI-000444,ORD-01516,PROD-0101,1,585.72,0
OI-000445,ORD-01101,PROD-0135,1,19.52,0
OI-000446,ORD-01101,PROD-0143,1,42.1,5
OI-000447,ORD-00067,PROD-0015,3,294.76,15
OI-000448,ORD-00067,PROD-0008,3,225.07,0
OI-000449,ORD-00067,PROD-0014,1,15.29,5
OI-000450,ORD-02179,PROD-0125,5,180.18,0
OI-000451,ORD-02179,PROD-0130,2,79.03,0
OI-000452,ORD-02718,PROD-0072,2,195.68,0
OI-000453,ORD-02718,PROD-0015,3,301.82,0
OI-000454,ORD-02718,PROD-0140,1,188.24,0
OI-000455,ORD-01281,PROD-0137,2,148.14,0
OI-000456,ORD-01281,PROD-0030,1,414.4,10
OI-000457,ORD-01281,PROD-0034,2,66.65,25
OI-000458,ORD-02323,PROD-0110,1,192.89,0
OI-000459,ORD-01247,PROD-0087,1,202.09,5
OI-000460,ORD-01247,PROD-0057,1,47.99,0
OI-000461,ORD-00837,PROD-0102,1,600.66,0
OI-000462,ORD-00726,PROD-0061,1,122.28,0
OI-000463,ORD-00726,PROD-0078,1,131.37,0
OI-000464,ORD-02507,PROD-0071,3,417.31,30
OI-000465,ORD-02507,PROD-0080,1,407.22,0
OI-000466,ORD-00554,PROD-0025,3,167.51,5
OI-000467,ORD-00554,PROD-0103,2,492.04,20
OI-000468,ORD-01779,PROD-0029,2,33.81,0
OI-000469,ORD-01779,PROD-0009,1,161.01,0
OI-000470,ORD-01779,PROD-0130,1,71.78,10
OI-000471,ORD-00866,PROD-0082,2,15.74,0
OI-000472,ORD-00866,PROD-0138,3,187.33,10
OI-000473,ORD-02701,PROD-0099,1,807.69,15
OI-000474,ORD-02701,PROD-0031,1,792.77,5
OI-000475,ORD-02701,PROD-0043,1,164.72,5
OI-000476,ORD-02701,PROD-0075,1,37.52,0
OI-000477,ORD-00003,PROD-0059,1,141.98,20
OI-000478,ORD-01528,PROD-0104,10,178.17,0
OI-000479,ORD-01528,PROD-0141,2,29.21,-13
OI-000480,ORD-02328,PROD-0106,1,31.4,0
OI-000481,ORD-02702,PROD-0114,3,188.7,0
OI-000482,ORD-00288,PROD-0085,2,61.37,0
OI-000483,ORD-01179,PROD-0148,3,195.51,0
OI-000484,ORD-01179,PROD-0123,2,46.97,15
OI-000485,ORD-01179,PROD-0094,2,76.3,10
OI-000486,ORD-01179,PROD-0063,5,95.52,0
OI-000487,ORD-01179,PROD-0037,1,435.81,0
OI-000488,ORD-02929,PROD-0050,0,47.96,0
OI-000489,ORD-02929,PROD-0066,1,89.58,25
OI-000490,ORD-01815,PROD-0026,1,13.87,0
OI-000491,ORD-00977,PROD-0040,4,44.08,5
OI-000492,ORD-00977,PROD-0084,1,443.82,0
OI-000493,ORD-00977,PROD-0007,2,330.02,0
OI-000494,ORD-00977,PROD-0102,1,586.03,0
OI-000495,ORD-00977,PROD-0064,5,352.64,0
OI-000496,ORD-00221,PROD-0070,4,329.21,15
OI-000497,ORD-00221,PROD-0132,1,313.7,0
